strut_id,missingness_classification,junction0_id,junction1_id,analysis_status,cad_length_um,usable_length_um,occupancy_fraction,longest_gap_um,median_diameter_um,p10_diameter_um,p90_diameter_um,diameter_ratio_median,thin_profile_fraction,thick_profile_fraction,max_centerline_deviation_um,tortuosity,valid_station_fraction,screening_labels
0,Nominal,0,9,analyzed,3225.5711891489827,2525.5711891489827,1.0,0.0,813.26,562.4038656645896,821.5166583825309,1.1666666666666665,0.10465116279069768,0.08139534883720931,311.00965026684753,1.074192610951505,1.0,suspected_bent
1,Nominal,1,9,analyzed,3226.400277661006,2526.400277661006,1.0,0.0,1016.1545605241638,943.8507818506059,1058.4501732249846,1.4577301895394557,0.0,1.0,195.15650185322562,1.02403451667033,1.0,suspected_thick;suspected_bent
2,Nominal,2,9,analyzed,3225.571030023351,2525.571030023351,1.0,0.0,929.44,779.3591328777767,996.0302523280017,1.3333333333333333,0.0,0.7790697674418605,198.03470346376224,1.0400986271572616,1.0,suspected_thick;suspected_bent
3,Nominal,3,9,analyzed,3226.400285805952,2526.400285805952,1.0,0.0,950.9742850361412,817.3883291912655,999.4181495250124,1.3642254619787415,0.0,0.872093023255814,237.33024854979885,1.0235835090984502,1.0,suspected_thick;suspected_bent
4,Nominal,0,10,analyzed,3234.192813253235,2534.192813253235,0.09302325581395349,2340.0,201.22966282335216,0.0,259.7863776259256,0.28867513459481287,1.0,0.0,430.49209257176483,1.3293169013720922,1.0,suspected_thin;suspected_broken;suspected_bent
5,Nominal,3,10,analyzed,3241.016971368075,2541.016971368075,0.13953488372093023,2220.0,259.7863776259256,0.0,284.58171831654965,0.37267799624996495,1.0,0.0,464.8886141476582,1.3021362260211375,1.0,suspected_thin;suspected_broken;suspected_bent
6,Nominal,4,10,analyzed,3234.193048268869,2534.193048268869,0.09302325581395349,2340.0,284.58171831654965,0.0,348.54,0.408248290463863,1.0,0.0,373.16652084869463,1.17174152820236,1.0,suspected_thin;suspected_broken;suspected_bent
7,Nominal,5,10,analyzed,3241.0159533093115,2541.0159533093115,0.06976744186046512,2400.0,259.7863776259256,58.09,284.58171831654965,0.37267799624996495,1.0,0.0,379.34682008984583,1.2499418044347061,1.0,suspected_thin;suspected_broken;suspected_bent
8,Nominal,0,12,analyzed,3227.525486421394,2527.525486421394,0.10465116279069768,2310.0,259.7863776259256,0.0,348.54,0.37267799624996495,1.0,0.0,386.3689987684967,1.2514311190982392,1.0,suspected_thin;suspected_broken;suspected_bent
9,Nominal,1,12,analyzed,3237.4390324795672,2537.4390324795672,0.23255813953488372,1980.0,259.7863776259256,116.18,348.54,0.37267799624996495,0.9883720930232558,0.0,347.9761811894172,1.3455374342876212,1.0,suspected_thin;suspected_broken;suspected_bent
11,Nominal,6,12,analyzed,3227.524939452971,2527.524939452971,0.11627906976744186,2280.0,328.6066633530124,164.3033316765062,348.54,0.4714045207910317,1.0,0.0,308.731794015301,1.182639389762796,1.0,suspected_thin;suspected_broken;suspected_bent
12,Nominal,10,8,analyzed,3227.525254703008,2527.525254703008,0.18604651162790697,2100.0,328.6066633530124,259.7863776259256,348.54,0.4714045207910317,1.0,0.0,88.0879136177833,1.1858397110688674,1.0,suspected_thin;suspected_broken;suspected_bent
13,Nominal,10,9,analyzed,3237.4386398598435,2537.4386398598435,0.27906976744186046,1860.0,328.6066633530124,116.18,357.96670927918115,0.4714045207910317,0.9883720930232558,0.0,250.35299316540318,1.2657727616371874,1.0,suspected_thin;suspected_broken;suspected_bent
14,Nominal,10,13,analyzed,3225.5710332713893,2525.5710332713893,0.1744186046511628,2130.0,232.36,0.0,232.36,0.3333333333333333,1.0,0.0,296.4350064387987,1.3341231383136916,1.0,suspected_thin;suspected_broken;suspected_bent
15,Nominal,10,12,analyzed,3226.399809196851,2526.399809196851,0.18604651162790697,2100.0,259.7863776259256,0.0,328.6066633530124,0.37267799624996495,1.0,0.0,219.73246998970254,1.233438050162338,1.0,suspected_thin;suspected_broken;suspected_bent
16,Nominal,11,9,analyzed,3227.5254873907224,2527.5254873907224,0.3953488372093023,1560.0,338.5733316765062,0.0,393.89239689509736,0.48570226039551584,0.9883720930232558,0.0,311.3511611090606,1.193962466343611,1.0,suspected_thin;suspected_broken;suspected_bent
