strut_id,junction0_id,junction1_id,napari_layer,napari_color_hex,napari_color_rgba_json,coordinate_order,start_z_vox,start_y_vox,start_x_vox,end_z_vox,end_y_vox,end_x_vox,direction_z_vox,direction_y_vox,direction_x_vox,center_z_vox,center_y_vox,center_x_vox,length_vox,length_um_from_centerline,start_z_um,start_y_um,start_x_um,end_z_um,end_y_um,end_x_um,direction_z_um,direction_y_um,direction_x_um,center_z_um,center_y_um,center_x_um,bbox_margin_vox,bbox_z_min_inclusive,bbox_y_min_inclusive,bbox_x_min_inclusive,bbox_z_max_exclusive,bbox_y_max_exclusive,bbox_x_max_exclusive,napari_vector_zyx_json,napari_line_zyx_json,inventory_junction0_id,inventory_junction1_id,inventory_junction0_degree,inventory_junction1_degree,inventory_unit_cell_ids,inventory_unit_cell_indices,inventory_classification,inventory_expected_by_0point5_cad,inventory_ct_material_occupancy,inventory_mean_intensity,inventory_length_um,inventory_trimmed_length_um,inventory_longest_gap_um,inventory_estimated_missing_volume_mm3,inventory_nominal_sampled_volume_mm3,inventory_centroid_x_um,inventory_centroid_y_um,inventory_centroid_z_um,inventory_aspect_ratio,inventory_sphericity,inventory_voxel_size_um
0,0,9,nominal,#4daf4a,"[0.302, 0.686, 0.29, 1.0]",ZYX (Napari/NumPy); source registration converted from XYZ,26.461733,53.501684,61.695963,26.38521,92.561256,101.162487,-0.076523,39.059572,39.466524,26.423471,73.03147,81.429225,55.527133,3225.571185,1537.162062,3107.912799,3583.918478,1532.716851,5376.883361,5876.528845,-4.445211,2268.970562,2292.610367,1534.939457,4242.39808,4730.223661,10.0,16,43,51,38,104,113,"[[26.461733, 53.501684, 61.695963], [-0.076523, 39.059572, 39.466524]]","[[26.461733, 53.501684, 61.695963], [26.38521, 92.561256, 101.162487]]",0,9,3,8,0,"0,0,0",Nominal,False,0.7851335406303406,44332.23046875,3225.5712106704714,1935.3427734375,0.0,0.15870173275470734,0.738606333732605,4730.223512191773,4242.398165054322,1534.9394565773011,0.0,1.0,58.09
1,1,9,nominal,#4daf4a,"[0.302, 0.686, 0.29, 1.0]",ZYX (Napari/NumPy); source registration converted from XYZ,26.527176,52.960644,140.106271,26.38521,92.561256,101.162487,-0.141966,39.600612,-38.943784,26.456193,72.76095,120.634379,55.541399,3226.399842,1540.963648,3076.483802,8138.77326,1532.716851,5376.883361,5876.528845,-8.246797,2300.399559,-2262.244416,1536.84025,4226.683582,7007.651053,10.0,16,42,91,38,104,152,"[[26.527176, 52.960644, 140.106271], [-0.141966, 39.600612, -38.943784]]","[[26.527176, 52.960644, 140.106271], [26.38521, 92.561256, 101.162487]]",1,9,2,8,0,"0,0,0",Nominal,False,1.0,49290.16015625,3226.4004220199586,1935.8404541015625,0.0,0.0,0.7387962937355042,7007.651375579834,4226.68347984314,1536.8401942443847,0.0,5.430654988463878e-06,58.09
2,2,9,nominal,#4daf4a,"[0.302, 0.686, 0.29, 1.0]",ZYX (Napari/NumPy); source registration converted from XYZ,26.308687,131.620828,140.628999,26.38521,92.561256,101.162487,0.076523,-39.059572,-39.466512,26.346949,112.091042,120.895743,55.527125,3225.570716,1528.27164,7645.853925,8169.138552,1532.716851,5376.883361,5876.528845,4.445211,-2268.970563,-2292.609707,1530.494246,6511.368643,7022.833698,10.0,16,82,91,38,143,152,"[[26.308687, 131.620828, 140.628999], [0.076523, -39.059572, -39.466512]]","[[26.308687, 131.620828, 140.628999], [26.38521, 92.561256, 101.162487]]",2,9,1,8,0,"0,0,0",Nominal,False,0.9934185147285461,48254.703125,3225.570989074707,1935.3427734375,0.0,0.004861126653850079,0.738606333732605,7022.833344573975,6511.369047698975,1530.4942455482483,0.0,0.1558392455826966,58.09
3,3,9,nominal,#4daf4a,"[0.302, 0.686, 0.29, 1.0]",ZYX (Napari/NumPy); source registration converted from XYZ,26.243242,132.161876,62.218699,26.38521,92.561256,101.162487,0.141968,-39.60062,38.943788,26.314226,112.361566,81.690593,55.541407,3226.400311,1524.469943,7677.283363,3614.28421,1532.716851,5376.883361,5876.528845,8.246908,-2300.400001,2262.244635,1528.593397,6527.083362,4745.406527,10.0,16,82,52,38,144,113,"[[26.243242, 132.161876, 62.218699], [0.141968, -39.60062, 38.943788]]","[[26.243242, 132.161876, 62.218699], [26.38521, 92.561256, 101.162487]]",3,9,2,8,0,"0,0,0",Nominal,False,0.971351146697998,47957.7109375,3226.4004220199586,1935.8404541015625,0.0,0.021165667101740837,0.7387962937355042,4745.40636756897,6527.083732910157,1528.5933970832825,0.0,0.4155342764713925,58.09
4,0,10,nominal,#4daf4a,"[0.302, 0.686, 0.29, 1.0]",ZYX (Napari/NumPy); source registration converted from XYZ,26.461733,53.501684,61.695963,65.841133,92.859255,61.803452,39.3794,39.357571,0.10749,46.151433,73.180469,61.749708,55.675552,3234.192835,1537.162062,3107.912799,3583.918478,3824.711423,5394.194109,3590.162553,2287.549361,2286.28131,6.244076,2680.936742,4251.053454,3587.040515,10.0,16,43,51,77,104,73,"[[26.461733, 53.501684, 61.695963], [39.3794, 39.357571, 0.10749]]","[[26.461733, 53.501684, 61.695963], [65.841133, 92.859255, 61.803452]]",0,10,3,8,0,"0,0,0",Nominal,False,0.199380561709404,36611.8671875,3234.1928370666506,1940.515869140625,0.0,0.5929232239723206,0.7405806183815002,3587.0404371261598,4251.0532524108885,2680.9366870498657,0.0,1.0,58.09
5,3,10,nominal,#4daf4a,"[0.302, 0.686, 0.29, 1.0]",ZYX (Napari/NumPy); source registration converted from XYZ,26.243242,132.161876,62.218699,65.841133,92.859255,61.803452,39.597891,-39.302621,-0.415246,46.042188,112.510565,62.011076,55.793023,3241.016702,1524.469943,7677.283363,3614.28421,3824.711423,5394.194109,3590.162553,2300.24148,-2283.089254,-24.121657,2674.590683,6535.738736,3602.223382,10.0,16,82,51,77,144,74,"[[26.243242, 132.161876, 62.218699], [39.597891, -39.302621, -0.415246]]","[[26.243242, 132.161876, 62.218699], [65.841133, 92.859255, 61.803452]]",3,10,2,8,0,"0,0,0",Nominal,False,0.26829269528388977,37692.26953125,3241.0171002197267,1944.6103515625,0.0,0.543031632900238,0.7421432137489319,3602.2235140991215,6535.738820266724,2674.5906275558473,0.0,1.0,58.09
6,4,10,nominal,#4daf4a,"[0.302, 0.686, 0.29, 1.0]",ZYX (Napari/NumPy); source registration converted from XYZ,105.220535,132.216826,61.910942,65.841133,92.859255,61.803452,-39.379402,-39.357571,-0.10749,85.530834,112.53804,61.857197,55.675554,3234.192913,6112.260894,7680.475419,3596.406629,3824.711423,5394.194109,3590.162553,-2287.549472,-2286.281309,-6.244076,4968.486159,6537.334764,3593.284591,10.0,55,82,51,117,144,73,"[[105.220535, 132.216826, 61.910942], [-39.379402, -39.357571, -0.10749]]","[[105.220535, 132.216826, 61.910942], [65.841133, 92.859255, 61.803452]]",4,10,1,8,0,"0,0,0",Nominal,False,0.26596981287002563,38135.3671875,3234.193058662415,1940.515869140625,0.0,0.543608546257019,0.7405806183815002,3593.2845625686646,6537.334752960205,4968.486380157471,0.0,1.0,58.09
7,5,10,nominal,#4daf4a,"[0.302, 0.686, 0.29, 1.0]",ZYX (Napari/NumPy); source registration converted from XYZ,105.439018,53.556645,61.388206,65.841133,92.859255,61.803452,-39.597885,39.30261,0.415246,85.640076,73.20795,61.595829,55.793011,3241.015999,6124.95257,3111.105518,3566.040899,3824.711423,5394.194109,3590.162553,-2300.241147,2283.088591,24.121655,4974.831996,4252.649814,3578.101726,10.0,55,43,51,117,104,73,"[[105.439018, 53.556645, 61.388206], [-39.597885, 39.30261, 0.415246]]","[[105.439018, 53.556645, 61.388206], [65.841133, 92.859255, 61.803452]]",5,10,2,8,0,"0,0,0",Nominal,False,0.23151373863220215,37515.1953125,3241.015992240906,1944.609619140625,0.0,0.5703266263008118,0.742142915725708,3578.1017071914675,4252.649628295899,4974.831996459961,0.0,1.0,58.09
8,0,12,nominal,#4daf4a,"[0.302, 0.686, 0.29, 1.0]",ZYX (Napari/NumPy); source registration converted from XYZ,26.461733,53.501684,61.695963,65.983101,53.258643,100.747237,39.521368,-0.243041,39.051274,46.222417,53.380163,81.2216,55.560774,3227.525347,1537.162062,3107.912799,3583.918478,3832.958331,3093.79455,5852.406969,2295.796269,-14.11825,2268.488491,2685.060196,3100.853675,4718.162723,10.0,16,43,51,77,65,112,"[[26.461733, 53.501684, 61.695963], [39.521368, -0.243041, 39.051274]]","[[26.461733, 53.501684, 61.695963], [65.983101, 53.258643, 100.747237]]",0,12,3,8,0,"0,0,0",Nominal,False,0.3410762548446655,38188.2890625,3227.5254637146,1936.515380859375,0.0,0.486980140209198,0.7390538454055786,4718.162941131592,3100.853790664673,2685.060141029358,0.0,1.0,58.09
9,1,12,nominal,#4daf4a,"[0.302, 0.686, 0.29, 1.0]",ZYX (Napari/NumPy); source registration converted from XYZ,26.527176,52.960644,140.106271,65.983101,53.258643,100.747237,39.455925,0.297999,-39.359034,46.255138,53.109643,120.426754,55.731431,3237.438819,1540.963648,3076.483802,8138.77326,3832.958331,3093.79455,5852.406969,2291.994683,17.310748,-2286.366292,2686.960989,3085.139176,6995.590115,10.0,16,42,90,77,65,152,"[[26.527176, 52.960644, 140.106271], [39.455925, 0.297999, -39.359034]]","[[26.527176, 52.960644, 140.106271], [65.983101, 53.258643, 100.747237]]",1,12,2,8,0,"0,0,0",Nominal,False,0.3182346224784851,38459.66796875,3237.4389934158326,1942.4635009765625,0.0,0.5054089426994324,0.7413238883018494,6995.590361328125,3085.1391054534915,2686.9609894943237,0.0,1.0,58.09
