strut_id,unit_cell_indices,baseline_classification,candidate_classification,baseline_occupancy,candidate_occupancy,occupancy_change
214,"8,0,0",Expected_Missing_But_Material_Present,Missing_Intentional,0.0669763833284378,0.042198993265628815,-0.02477739006280899
640,"8,2,0",Missing_Unintentional,Nominal,0.014711575582623482,0.08130080997943878,0.06658923625946045
643,"8,2,0",Missing_Unintentional,Nominal,0.0,0.10840108245611191,0.10840108245611191
648,"8,2,0",Missing_Unintentional,Nominal,0.015485868789255619,0.07626790553331375,0.06078203767538071
860,"8,3,0",Missing_Unintentional,Nominal,0.012001548893749714,0.08362369239330292,0.07162214070558548
862,"8,3,0",Missing_Unintentional,Nominal,0.007355787791311741,0.19783197343349457,0.1904761791229248
863,"8,3,0",Missing_Unintentional,Nominal,0.003097173757851124,0.044134728610515594,0.041037555783987045
867,"8,3,0",Missing_Unintentional,Nominal,0.017034456133842468,0.10607820004224777,0.0890437439084053
1080,"8,4,0",Missing_Unintentional,Nominal,0.010065814480185509,0.06310492008924484,0.053039103746414185
1083,"8,4,0",Missing_Unintentional,Nominal,0.01084010861814022,0.06542779505252838,0.05458768457174301
1087,"8,4,0",Missing_Unintentional,Nominal,0.014324428513646126,0.06155632808804512,0.047231897711753845
1298,"8,5,0",Missing_Unintentional,Nominal,0.036391790956258774,0.12620984017848969,0.08981804549694061
1300,"8,5,0",Missing_Unintentional,Nominal,0.007355787791311741,0.056910570710897446,0.04955478385090828
1303,"8,5,0",Missing_Unintentional,Nominal,0.006581494584679604,0.0538133941590786,0.047231897711753845
1307,"8,5,0",Missing_Unintentional,Nominal,0.03252032399177551,0.12737126648426056,0.09485094249248505
1308,"8,5,0",Missing_Unintentional,Nominal,0.016647309064865112,0.09678668528795242,0.08013937622308731
1310,"8,5,0",Expected_Missing_But_Material_Present,Missing_Intentional,0.06929926574230194,0.03213317692279816,-0.037166088819503784
1520,"8,6,0",Missing_Unintentional,Nominal,0.021293070167303085,0.09562524408102036,0.07433217763900757
1523,"8,6,0",Missing_Unintentional,Nominal,0.007355787791311741,0.06929926574230194,0.061943478882312775
1537,"8,6,0",Missing_Unintentional,Nominal,0.04297328740358353,0.12737126648426056,0.08439797908067703
1728,"7,7,0",Expected_Missing_But_Material_Present,Missing_Intentional,0.05149051547050476,0.016647309064865112,-0.03484320640563965
1740,"8,7,0",Missing_Unintentional,Nominal,0.006581494584679604,0.06581494212150574,0.05923344939947128
1743,"8,7,0",Missing_Unintentional,Nominal,0.003097173757851124,0.07704219967126846,0.07394502311944962
1753,"8,7,0",Missing_Unintentional,Nominal,0.04181184619665146,0.07859078794717789,0.03677894175052643
1992,"8,8,0",Missing_Unintentional,Nominal,0.011227254755795002,0.08517228066921234,0.07394502311944962
1995,"8,8,0",Missing_Unintentional,Nominal,0.0189701896160841,0.12737126648426056,0.10840107500553131
2006,"8,8,0",Nominal,Missing_Unintentional,0.04336043447256088,0.039101820439100266,-0.004258614033460617
2436,"8,1,1",Missing_Unintentional,Nominal,0.03948896750807762,0.10878822952508926,0.06929926574230194
2656,"8,2,1",Missing_Unintentional,Nominal,0.02477739006280899,0.10298103094100952,0.07820364087820053
2657,"8,2,1",Missing_Unintentional,Nominal,0.008517228066921234,0.20441347360610962,0.1958962380886078
2659,"8,2,1",Missing_Unintentional,Nominal,0.0,0.1173054575920105,0.1173054575920105
2668,"8,2,1",Missing_Unintentional,Nominal,0.016647309064865112,0.08943089097738266,0.07278358191251755
2669,"8,2,1",Missing_Unintentional,Nominal,0.03484320640563965,0.07897793501615524,0.044134728610515594
2673,"8,2,1",Missing_Unintentional,Nominal,0.03948896750807762,0.19512194395065308,0.15563297271728516
2876,"8,3,1",Missing_Unintentional,Nominal,0.0,0.1111111119389534,0.1111111119389534
2877,"8,3,1",Missing_Unintentional,Nominal,0.013550135307013988,0.1807975172996521,0.16724738478660583
2878,"8,3,1",Missing_Unintentional,Nominal,0.008130080997943878,0.22183507680892944,0.21370500326156616
2879,"8,3,1",Missing_Unintentional,Nominal,0.003484320593997836,0.11924119293689728,0.11575686931610107
2883,"8,3,1",Missing_Unintentional,Nominal,0.018583042547106743,0.09678668528795242,0.07820364087820053
2888,"8,3,1",Missing_Unintentional,Nominal,0.011614401824772358,0.05923344939947128,0.0476190485060215
2889,"8,3,1",Missing_Unintentional,Nominal,0.027100270614027977,0.07239643484354019,0.045296162366867065
3089,"8,4,1",Missing_Unintentional,Nominal,0.036004647612571716,0.11343399435281754,0.07742934674024582
3099,"8,4,1",Missing_Unintentional,Nominal,0.006194347515702248,0.06426635384559631,0.058072008192539215
3108,"8,4,1",Missing_Unintentional,Nominal,0.021293070167303085,0.10104529559612274,0.07975222170352936
3109,"8,4,1",Missing_Unintentional,Nominal,0.029036004096269608,0.08865660429000854,0.05962060019373894
