strut_id,junction0_id,junction1_id,junction0_degree,junction1_degree,unit_cell_ids,unit_cell_indices,classification,expected_by_0point5_cad,ct_material_occupancy,mean_intensity,length_um,trimmed_length_um,longest_gap_um,estimated_missing_volume_mm3,nominal_sampled_volume_mm3,centroid_x_um,centroid_y_um,centroid_z_um,aspect_ratio,sphericity,voxel_size_um
0,0,9,3,8,0,"0,0,0",Nominal,False,0.7851335406303406,44332.23046875,3225.5712106704714,1935.3427734375,0.0,0.15870173275470734,0.738606333732605,4730.223512191773,4242.398165054322,1534.9394565773011,0.0,1.0,58.09
1,1,9,2,8,0,"0,0,0",Nominal,False,1.0,49290.16015625,3226.4004220199586,1935.8404541015625,0.0,0.0,0.7387962937355042,7007.651375579834,4226.68347984314,1536.8401942443847,0.0,5.430654988463878e-06,58.09
2,2,9,1,8,0,"0,0,0",Nominal,False,0.9934185147285461,48254.703125,3225.570989074707,1935.3427734375,0.0,0.004861126653850079,0.738606333732605,7022.833344573975,6511.369047698975,1530.4942455482483,0.0,0.1558392455826966,58.09
3,3,9,2,8,0,"0,0,0",Nominal,False,0.971351146697998,47957.7109375,3226.4004220199586,1935.8404541015625,0.0,0.021165667101740837,0.7387962937355042,4745.40636756897,6527.083732910157,1528.5933970832825,0.0,0.4155342764713925,58.09
4,0,10,3,8,0,"0,0,0",Nominal,False,0.199380561709404,36611.8671875,3234.1928370666506,1940.515869140625,0.0,0.5929232239723206,0.7405806183815002,3587.0404371261598,4251.0532524108885,2680.9366870498657,0.0,1.0,58.09
5,3,10,2,8,0,"0,0,0",Nominal,False,0.26829269528388977,37692.26953125,3241.0171002197267,1944.6103515625,0.0,0.543031632900238,0.7421432137489319,3602.2235140991215,6535.738820266724,2674.5906275558473,0.0,1.0,58.09
6,4,10,1,8,0,"0,0,0",Nominal,False,0.26596981287002563,38135.3671875,3234.193058662415,1940.515869140625,0.0,0.543608546257019,0.7405806183815002,3593.2845625686646,6537.334752960205,4968.486380157471,0.0,1.0,58.09
7,5,10,2,8,0,"0,0,0",Nominal,False,0.23151373863220215,37515.1953125,3241.015992240906,1944.609619140625,0.0,0.5703266263008118,0.742142915725708,3578.1017071914675,4252.649628295899,4974.831996459961,0.0,1.0,58.09
8,0,12,3,8,0,"0,0,0",Nominal,False,0.3410762548446655,38188.2890625,3227.5254637146,1936.515380859375,0.0,0.486980140209198,0.7390538454055786,4718.162941131592,3100.853790664673,2685.060141029358,0.0,1.0,58.09
9,1,12,2,8,0,"0,0,0",Nominal,False,0.3182346224784851,38459.66796875,3237.4389934158326,1942.4635009765625,0.0,0.5054089426994324,0.7413238883018494,6995.590361328125,3085.1391054534915,2686.9609894943237,0.0,1.0,58.09
10,5,12,2,8,0,"0,0,0",Missing_Intentional,True,0.000774293439462781,32688.0703125,3237.4385502243044,1942.4632568359375,2035.441543956757,0.7407497763633728,0.7413237690925598,4709.223768005371,3102.4501665496828,4978.955450439454,2.919954013824463,0.7583384787993913,58.09
11,6,12,1,8,0,"0,0,0",Nominal,False,0.42547425627708435,39702.2890625,3227.5250205230714,1936.51513671875,0.0,0.4246053993701935,0.7390537858009338,6986.651188201905,3086.7354813385014,4980.856298904419,0.0,1.0,58.09
12,10,8,8,4,0,"0,0,0",Nominal,False,0.4142470061779022,39764.4140625,3227.5252421188356,1936.51513671875,0.0,0.4329029321670532,0.7390537858009338,4724.406623382569,5387.1348480224615,4972.609834136963,0.0,1.0,58.09
13,10,9,8,8,0,"0,0,0",Nominal,False,0.4963220953941345,40460.4921875,3237.4387718200687,1942.4632568359375,0.0,0.373388409614563,0.7413237690925598,4733.345796508789,5385.538472137451,2678.7140815353396,0.0,1.0,58.09
14,10,13,8,4,0,"0,0,0",Nominal,False,0.2380952388048172,37472.46875,3225.570989074707,1935.3427734375,0.0,0.5627477169036865,0.738606333732605,4736.467637634278,6528.67922241211,3822.48881729126,0.0,1.0,58.09
15,10,12,8,8,0,"0,0,0",Nominal,False,0.3263646960258484,38766.8671875,3226.399757232666,1935.8399658203125,0.0,0.4976791441440582,0.7387961149215698,4721.28478225708,4243.994097747803,3828.8348767852785,0.0,1.0,58.09
16,11,9,4,8,0,"0,0,0",Nominal,False,0.60317462682724,42038.5546875,3227.5254637146,1936.515380859375,0.0,0.2932753264904022,0.7390538454055786,7010.773216705323,5369.824230117798,2680.6149300003053,0.0,1.0,58.09
17,11,13,4,4,0,"0,0,0",Nominal,False,0.3763066232204437,39305.93359375,3226.399757232666,1935.8399658203125,0.0,0.4607822299003601,0.7387961149215698,7013.895057830811,6512.964537200928,3824.389665756226,0.0,1.0,58.09
18,11,8,4,4,0,"0,0,0",Nominal,False,0.49245062470436096,40825.5390625,3237.4389934158326,1942.4635009765625,0.0,0.3762584924697876,0.7413238883018494,7001.834043579102,5371.42016281128,4974.510239410401,0.0,1.0,58.09
19,12,9,8,8,0,"0,0,0",Nominal,False,0.36198219656944275,38930.01953125,3241.0164354324343,1944.60986328125,0.0,0.47350046038627625,0.7421430349349976,5864.468078918458,4235.339010391235,2682.837535514832,0.0,1.0,58.09
20,12,11,8,4,0,"0,0,0",Nominal,False,0.22802942991256714,37032.578125,3225.570989074707,1935.3427734375,0.0,0.5701823234558105,0.738606333732605,6998.712202453614,4228.279855728149,3830.7357252502443,0.0,1.0,58.09
21,12,8,8,4,0,"0,0,0",Nominal,False,0.2593882977962494,38247.82421875,3234.1928370666506,1940.515869140625,0.0,0.5484826564788818,0.7405806183815002,5855.528905792236,4236.934943084717,4976.733288116456,0.0,1.0,58.09
22,13,8,4,4,0,"0,0,0",Nominal,False,0.3526906669139862,39126.8203125,3241.0164354324343,1944.60986328125,0.0,0.4803960919380188,0.7421430349349976,5870.711761169434,6521.620067749024,4970.386785430908,0.0,1.0,58.09
23,13,9,4,8,0,"0,0,0",Nominal,False,0.375532329082489,39232.90625,3234.1928370666506,1940.515869140625,0.0,0.4624686539173126,0.7405806183815002,5879.650934295654,6520.023691864014,2676.491476020813,0.0,1.0,58.09
24,14,23,3,8,1,"1,0,0",Nominal,False,0.9938056468963623,48856.73828125,3225.570545883179,1935.342529296875,0.0,0.004575187806040049,0.7386062145233154,9285.078795776368,4210.969237823487,1538.7410427093507,0.0,0.14966657839450156,58.09
25,15,23,2,8,1,"1,0,0",Nominal,False,1.0,50846.7890625,3226.4002004241947,1935.8402099609375,0.0,0.0,0.7387961745262146,11562.505329589845,4195.254552612305,1540.6418911743165,0.0,5.430654988463878e-06,58.09
26,16,23,1,8,1,"1,0,0",Nominal,False,1.0,49563.76953125,3225.570989074707,1935.3427734375,0.0,0.0,0.738606333732605,11577.68818496704,6479.939677276611,1534.29594247818,0.0,5.430654988463878e-06,58.09
27,17,23,2,8,1,"1,0,0",Nominal,False,1.0,50350.84765625,3226.4002004241947,1935.8402099609375,0.0,0.0,0.7387961745262146,9300.260764770508,6495.654362487793,1532.3950940132142,0.0,5.430654988463878e-06,58.09
28,14,24,3,8,1,"1,0,0",Nominal,False,0.41850560903549194,39718.0390625,3234.1928370666506,1940.515869140625,0.0,0.4306434690952301,0.7405806183815002,8141.89549911499,4219.624325180054,2684.7383839797976,0.0,1.0,58.09
29,17,24,2,8,1,"1,0,0",Nominal,False,0.47386759519577026,40489.6640625,3241.0166570281986,1944.610107421875,0.0,0.39046552777290344,0.7421430945396423,8157.078354492188,6504.309893035889,2678.3923244857788,0.0,1.0,58.09
30,18,24,1,8,1,"1,0,0",Nominal,False,0.2973286807537079,38786.0390625,3234.1928370666506,1940.515869140625,0.0,0.5203847289085388,0.7405806183815002,8148.1391813659675,6505.905382537842,4972.288077087403,0.0,1.0,58.09
31,19,24,2,8,1,"1,0,0",Nominal,False,0.35927215218544006,38893.890625,3241.01621383667,1944.60986328125,0.0,0.47551172971725464,0.7421430349349976,8132.95632598877,4221.220701065064,4978.633693389893,0.0,1.0,58.09
32,14,26,3,8,1,"1,0,0",Nominal,False,0.45180022716522217,40279.42578125,3227.5252421188356,1936.51513671875,0.0,0.4051491320133209,0.7390537858009338,9273.017781524659,3069.4244202423097,2688.86183795929,0.0,1.0,58.09
33,15,26,2,8,1,"1,0,0",Nominal,False,0.5009678602218628,40896.0234375,3237.4385502243044,1942.4632568359375,0.0,0.36994439363479614,0.7413237690925598,11550.445201721192,3053.709956626892,2690.7626864242557,0.0,1.0,58.09
34,19,26,2,8,1,"1,0,0",Nominal,False,0.4196670651435852,39813.88671875,3237.4387718200687,1942.4632568359375,0.0,0.4302145838737488,0.7413237690925598,9264.078608398439,3071.0207961273195,4982.757147369385,0.0,1.0,58.09
35,20,26,1,8,1,"1,0,0",Nominal,False,0.3852109909057617,39374.44921875,3227.5250205230714,1936.51513671875,0.0,0.454362154006958,0.7390537858009338,11541.506028594971,3055.306110916138,4984.657995834351,0.0,1.0,58.09
36,24,22,8,4,1,"1,0,0",Nominal,False,0.48354625701904297,40781.1796875,3227.5250205230714,1936.51513671875,0.0,0.38168710470199585,0.7390537858009338,9279.261463775636,5355.705920791626,4976.411087875366,0.0,1.0,58.09
37,24,23,8,8,1,"1,0,0",Nominal,False,0.6705381274223328,42842.05078125,3237.4385502243044,1942.4632568359375,0.0,0.24423791468143463,0.7413237690925598,9288.200636901856,5354.109988098145,2682.515778465271,0.0,1.0,58.09
38,24,27,8,4,1,"1,0,0",Nominal,False,0.19086334109306335,37150.59375,3225.5712106704714,1935.3427734375,0.0,0.597633421421051,0.738606333732605,9291.322478027345,6497.250738372803,3826.2905142211916,0.0,1.0,58.09
39,24,26,8,8,1,"1,0,0",Nominal,False,0.39372822642326355,39752.30078125,3226.4002004241947,1935.8402099609375,0.0,0.44791123270988464,0.7387961745262146,9276.139622650147,4212.5651705169685,3832.63657371521,0.0,1.0,58.09
40,25,23,4,8,1,"1,0,0",Nominal,False,0.686024010181427,42941.55859375,3227.525906906128,1936.515625,0.0,0.23204520344734192,0.7390539646148682,11565.627170715332,5338.395302886963,2684.416626930237,0.0,1.0,58.09
41,25,27,4,4,1,"1,0,0",Nominal,False,0.37979093194007874,39382.6640625,3226.400643615723,1935.8404541015625,0.0,0.4582081735134125,0.7387962937355042,11568.749898223878,6481.536053161622,3828.1913626861574,0.0,1.0,58.09
42,25,22,4,4,1,"1,0,0",Nominal,False,0.3449477255344391,38775.109375,3237.4387718200687,1942.4632568359375,0.0,0.4856058359146118,0.7413237690925598,11556.688883972169,5339.9912355804445,4978.311936340332,0.0,1.0,58.09
43,26,23,8,8,1,"1,0,0",Nominal,False,0.4761904776096344,40469.19140625,3241.0166570281986,1944.610107421875,0.0,0.3887416422367096,0.7421430945396423,10419.322919311524,4203.910083160401,2686.6392324447634,0.0,1.0,58.09
44,26,25,8,4,1,"1,0,0",Nominal,False,0.25435540080070496,37357.46484375,3225.570989074707,1935.3427734375,0.0,0.5507377982139587,0.738606333732605,11553.56704284668,4196.850485305787,3834.537422180176,0.0,1.0,58.09
45,26,22,8,4,1,"1,0,0",Nominal,False,0.28687572479248047,38761.17578125,3234.1928370666506,1940.515869140625,0.0,0.5281260013580322,0.7405806183815002,10410.383746185304,4205.506015853882,4980.534541854859,0.0,1.0,58.09
46,27,22,4,4,1,"1,0,0",Nominal,False,0.3561749756336212,39152.65234375,3241.0164354324343,1944.60986328125,0.0,0.4778102934360504,0.7421430349349976,10425.566601562501,6490.191583709717,4974.18848236084,0.0,1.0,58.09
47,27,23,4,8,1,"1,0,0",Nominal,False,0.49438637495040894,40770.1640625,3234.193058662415,1940.515869140625,0.0,0.37444764375686646,0.7405806183815002,10434.504888305664,6488.595207824707,2680.293172950745,0.0,1.0,58.09
48,28,37,3,8,2,"2,0,0",Nominal,False,1.0,50472.89453125,3225.570989074707,1935.3427734375,0.0,0.0,0.738606333732605,13839.932749786378,4179.539867401123,1542.5427396392822,0.0,5.430654988463878e-06,58.09
