classification,strut_id,source_z_voxels,prior_classification,prior_occupancy,candidate_occupancy,occupancy_change,render,metadata
Expected_Missing_But_Material_Present,417,46.34725570678711,Expected_Missing_But_Material_Present,0.32675182819366455,0.34610918164253235,0.019357353448867798,Expected_Missing_But_Material_Present/strut_417_3d.png,Expected_Missing_But_Material_Present/strut_417_metadata.json
Expected_Missing_But_Material_Present,1310,65.2339859008789,Expected_Missing_But_Material_Present,0.06929926574230194,0.03213317692279816,-0.037166088819503784,Expected_Missing_But_Material_Present/strut_1310_3d.png,Expected_Missing_But_Material_Present/strut_1310_metadata.json
Expected_Missing_But_Material_Present,1666,84.32862854003906,Missing_Intentional,0.022454509511590004,0.0379403792321682,0.015485869720578194,Expected_Missing_But_Material_Present/strut_1666_3d.png,Expected_Missing_But_Material_Present/strut_1666_metadata.json
Expected_Missing_But_Material_Present,214,86.15809631347656,Expected_Missing_But_Material_Present,0.0669763833284378,0.042198993265628815,-0.02477739006280899,Expected_Missing_But_Material_Present/strut_214_3d.png,Expected_Missing_But_Material_Present/strut_214_metadata.json
Expected_Missing_But_Material_Present,16613,737.5241699218749,Expected_Missing_But_Material_Present,0.40689119696617126,0.38404956459999084,-0.02284163236618042,Expected_Missing_But_Material_Present/strut_16613_3d.png,Expected_Missing_But_Material_Present/strut_16613_metadata.json
Missing_Intentional,1728,64.87352752685547,Expected_Missing_But_Material_Present,0.05149051547050476,0.016647309064865112,-0.03484320640563965,Missing_Intentional/strut_1728_3d.png,Missing_Intentional/strut_1728_metadata.json
Missing_Intentional,6234,323.0245361328125,Missing_Intentional,0.036004647612571716,0.01084010861814022,-0.025164538994431496,Missing_Intentional/strut_6234_3d.png,Missing_Intentional/strut_6234_metadata.json
Missing_Intentional,12044,439.8190612792969,Missing_Intentional,0.0011614401591941714,0.0,-0.0011614401591941714,Missing_Intentional/strut_12044_3d.png,Missing_Intentional/strut_12044_metadata.json
Missing_Intentional,12281,540.157470703125,Missing_Intentional,0.013937282375991344,0.00890437513589859,-0.005032907240092754,Missing_Intentional/strut_12281_3d.png,Missing_Intentional/strut_12281_metadata.json
Missing_Intentional,17562,716.76416015625,Missing_Intentional,0.022454509511590004,0.01974448375403881,-0.0027100257575511932,Missing_Intentional/strut_17562_3d.png,Missing_Intentional/strut_17562_metadata.json
Missing_Unintentional,1773,44.25601577758789,Missing_Unintentional,0.0,0.0,0.0,Missing_Unintentional/strut_1773_3d.png,Missing_Unintentional/strut_1773_metadata.json
Missing_Unintentional,5917,202.47238159179688,Missing_Unintentional,0.0,0.0,0.0,Missing_Unintentional/strut_5917_3d.png,Missing_Unintentional/strut_5917_metadata.json
Missing_Unintentional,10057,360.7924194335937,Missing_Unintentional,0.004645760636776686,0.019357336685061455,0.014711576048284769,Missing_Unintentional/strut_10057_3d.png,Missing_Unintentional/strut_10057_metadata.json
Missing_Unintentional,13983,557.9028930664062,Missing_Unintentional,0.0,0.0,0.0,Missing_Unintentional/strut_13983_3d.png,Missing_Unintentional/strut_13983_metadata.json
Missing_Unintentional,18455,716.1192626953125,Missing_Unintentional,0.0,0.0,0.0,Missing_Unintentional/strut_18455_3d.png,Missing_Unintentional/strut_18455_metadata.json
Nominal,1763,24.566314697265625,Nominal,0.8629500865936279,0.917150616645813,0.05420053005218506,Nominal/strut_1763_3d.png,Nominal/strut_1763_metadata.json
Nominal,4916,203.2320556640625,Nominal,0.11575686931610107,0.23073944449424744,0.11498257517814636,Nominal/strut_4916_3d.png,Nominal/strut_4916_metadata.json
Nominal,9349,381.11041259765625,Nominal,0.10181958973407745,0.24119241535663605,0.1393728256225586,Nominal/strut_9349_3d.png,Nominal/strut_9349_metadata.json
Nominal,12546,559.1378173828125,Nominal,0.3906310498714447,0.4045683443546295,0.013937294483184814,Nominal/strut_12546_3d.png,Nominal/strut_12546_metadata.json
Nominal,16358,737.7753295898438,Nominal,0.42276424169540405,0.48896631598472595,0.0662020742893219,Nominal/strut_16358_3d.png,Nominal/strut_16358_metadata.json
