z0_downsampled,z1_downsampled_exclusive,z_center_source_voxels,best_shift_x_downsampled,best_shift_y_downsampled,best_shift_x_source_voxels,best_shift_y_source_voxels,best_overlap_fraction,zero_shift_overlap_fraction,overlap_gain
0,8,7.0,6,6,12,12,0.0,0.0,0.0
8,16,23.0,0,-2,0,-4,0.9738680154142582,0.9713466401734104,0.002521375240847723
16,24,39.0,0,0,0,0,0.6900699022453722,0.6900699022453722,0.0
24,32,55.0,0,0,0,0,0.37616119432432876,0.37616119432432876,0.0
32,40,71.0,0,0,0,0,0.4032889909342675,0.4032889909342675,0.0
40,48,87.0,0,0,0,0,0.2931162499440891,0.2931162499440891,0.0
48,56,103.0,0,0,0,0,0.3293242142610093,0.3293242142610093,0.0
56,64,119.0,0,0,0,0,0.325300340041451,0.325300340041451,0.0
64,72,135.0,0,0,0,0,0.26748275497728335,0.26748275497728335,0.0
72,80,151.0,0,0,0,0,0.38279758819885984,0.38279758819885984,0.0
80,88,167.0,0,0,0,0,0.28078182892122644,0.28078182892122644,0.0
88,96,183.0,0,0,0,0,0.35327305565340894,0.35327305565340894,0.0
96,104,199.0,-1,0,-2,0,0.321732280645219,0.32161591206115614,0.00011636858406288697
104,112,215.0,-1,0,-2,0,0.27154713917814355,0.2687758929571157,0.0027712462210278677
112,120,231.0,-1,0,-2,0,0.4260952613183776,0.42336557479205617,0.00272968652632144
120,128,247.0,-1,-1,-2,-2,0.3061410647373928,0.29336171202189215,0.012779352715500625
128,136,263.0,-1,0,-2,0,0.38551503704779894,0.3822852289363985,0.003229808111400445
136,144,279.0,-1,-1,-2,-2,0.3333333333333333,0.32393157810070244,0.00940175523263087
144,152,295.0,-1,-1,-2,-2,0.29134425633568756,0.286228967594516,0.005115288741171564
152,160,311.0,-1,-1,-2,-2,0.46291960549035677,0.4490034826889871,0.013916122801369668
160,168,327.0,-1,-1,-2,-2,0.33149106934914635,0.3058188072161809,0.025672262132965473
168,176,343.0,-1,-1,-2,-2,0.40830969557545843,0.3979574743707145,0.010352221204743939
176,184,359.0,-1,-1,-2,-2,0.34921174292893614,0.3210616208675746,0.028150122061361527
184,192,375.0,-1,-1,-2,-2,0.3430770634944781,0.32821807782408957,0.014858985670388514
192,200,391.0,-1,-1,-2,-2,0.42951203684652034,0.40348364223421596,0.026028394612304384
200,208,407.0,-1,-1,-2,-2,0.35691324118679935,0.3172211967043357,0.03969204448246366
208,216,423.0,-1,-1,-2,-2,0.4119482860289945,0.39686689883065007,0.015081387198344454
216,224,439.0,-1,-1,-2,-2,0.35443399935661435,0.3142223969689388,0.04021160238767557
224,232,455.0,-1,-1,-2,-2,0.3820230494226222,0.36080684401091934,0.021216205411702882
232,240,471.0,-1,-1,-2,-2,0.40780362830632877,0.3752163827724692,0.032587245533859555
240,248,487.0,-1,-1,-2,-2,0.37404030494226076,0.33319532325859785,0.040844981683662906
248,256,503.0,-1,-1,-2,-2,0.4157345908238084,0.3968889359025037,0.018845654921304744
256,264,519.0,-1,-1,-2,-2,0.3571058044897594,0.3087201502548967,0.04838565423486274
264,272,535.0,-1,-1,-2,-2,0.40499471755793826,0.380414503113269,0.024580214444669235
272,280,551.0,-1,-1,-2,-2,0.39771173953950756,0.36002378796754897,0.03768795157195859
280,288,567.0,-1,-1,-2,-2,0.3776224394209866,0.33365736403966134,0.04396507538132527
288,296,583.0,-1,-1,-2,-2,0.4085209645907584,0.3892764443243304,0.019244520266427978
296,304,599.0,-1,-1,-2,-2,0.3538249409068118,0.30116932884463865,0.052655612062173174
304,312,615.0,-1,-1,-2,-2,0.404867010630254,0.38586376373259795,0.019003246897656034
312,320,631.0,-1,-1,-2,-2,0.3853838017664554,0.34016471247638247,0.045219089290072956
320,328,647.0,-1,-1,-2,-2,0.3658185512891072,0.32504127682993944,0.040777274459167734
328,336,663.0,-1,-1,-2,-2,0.4136139919651708,0.38813558339468635,0.025478408570484445
336,344,679.0,-1,-1,-2,-2,0.3551539754640724,0.2991076218748882,0.056046353589184195
344,352,695.0,-1,-1,-2,-2,0.42536218544117727,0.40550823110694584,0.019853954334231427
352,360,711.0,-1,-1,-2,-2,0.4195106593505442,0.36338940361608346,0.05612125573446075
360,368,727.0,-1,-1,-2,-2,0.6141870791262098,0.5702031042953343,0.04398397483087557
368,376,743.0,-2,-1,-4,-2,0.9349010513992391,0.9101582727334129,0.024742778665826193
376,381,756.0,6,6,12,12,0.0,0.0,0.0
