component,voxels,volume_voxels,equivalent_diameter_voxels,centroid_x,centroid_y,centroid_z,bbox_z,bbox_y,bbox_x,max_dimension_voxels,surface_faces,sphericity,aspect_ratio,orientation_z
2,316960,316960,84.59316587843131,111.2924533064109,104.89755805148914,96.93203558808682,180,185,184,185,1377874,0.016315895861941668,1.1463448685879982,56.126000035550064
7,60,60,4.857180126010561,35.38333333333333,23.516666666666666,12.116666666666667,8,17,14,17,298,0.24871502804805404,2.1925390642261924,4.019561356041619
8,52,52,4.630930256838134,35.019230769230774,43.15384615384615,12.76923076923077,8,14,12,14,282,0.23891160465863076,2.1950340290125014,3.261963664174373
10,99,99,5.7395633987581025,35.58585858585859,160.78787878787878,11.686868686868687,8,17,15,17,394,0.2626705392825139,2.0025133551584218,3.779348708295269
11,90,90,5.560083268891276,45.766666666666666,170.53333333333333,11.755555555555556,8,15,14,15,370,0.2624887773938836,1.8575691121271847,3.4631965550201533
12,88,88,5.518588563740668,65.7159090909091,170.6931818181818,11.75,8,15,15,15,408,0.23450156359937635,1.5978232168372188,3.17029250526018
13,92,92,5.600967702383306,84.6304347826087,170.75,11.869565217391305,8,15,15,15,408,0.24155489700376034,1.650569834984988,3.1395723080376765
14,83,83,5.412025364749767,143.33734939759037,169.93975903614458,11.819277108433734,8,15,14,15,368,0.2500470301524144,1.7708763860369154,3.3938266023853445
17,38,38,4.1712061879988935,94.07894736842105,22.473684210526315,12.81578947368421,7,13,11,13,222,0.24621823538282953,2.131899221061259,3.2045388078978068
18,55,55,4.718326851800821,113.67272727272727,22.127272727272725,12.963636363636363,8,13,13,13,250,0.27976018649411744,1.8938697520366732,3.168666941984957
19,48,48,4.509006607147306,45.145833333333336,33.16666666666667,12.645833333333334,7,16,10,16,280,0.22811486391282318,2.1673944773208618,3.5552861943655256
20,34,34,4.019389542491952,26.852941176470587,50.23529411764706,12.0,7,9,9,9,174,0.29168951670620397,6.563714438691283,3.031345168636306
21,48,48,4.509006607147306,35.9375,62.166666666666664,12.4375,7,15,10,15,246,0.25964293453492066,1.9678968066805167,3.2715218689388856
22,35,35,4.058415182579961,26.82857142857143,70.14285714285714,11.885714285714286,6,9,9,9,154,0.33600218368232365,7.575227563589097,3.082728675701602
23,63,63,4.936820184470645,35.539682539682545,82.25396825396825,12.095238095238095,7,14,12,14,282,0.27151597219022905,2.0677805550723356,3.2377293122003414
26,75,75,5.232238679605294,35.266666666666666,101.76,12.026666666666667,7,15,14,15,328,0.2622111305548643,1.8201805787294376,3.1926615672850858
27,71,71,5.137516647158831,35.21126760563381,121.71830985915493,12.126760563380282,7,16,14,16,332,0.24975734741999991,1.7578196212034736,3.259835769352022
28,80,80,5.346018470287903,35.8375,140.75,11.95,7,15,12,15,318,0.28234731523156553,2.1818668125593836,3.7165322295011474
29,69,69,5.08881687589421,46.08695652173913,150.79710144927537,11.826086956521738,7,15,12,15,304,0.2676146810694291,2.059513049667538,3.247846474014332
30,61,61,4.884015919923077,85.1311475409836,150.9344262295082,12.344262295081966,7,14,13,14,320,0.23418228334071722,1.9333269542064868,3.253395325584249
31,73,73,5.1853102442204015,55.342465753424655,141.31506849315068,12.301369863013699,7,14,13,14,336,0.25139699789890135,1.9167821699687977,3.0141009823271405
32,67,67,5.039166715846006,74.70149253731344,140.91044776119404,12.343283582089553,7,14,12,14,354,0.2253533737568221,1.836300527726976,2.9384957698588012
33,56,56,4.746751193158485,93.89285714285714,140.80357142857142,12.625,7,14,11,14,262,0.27017273413023907,2.103854268605668,3.147697324014155
34,80,80,5.346018470287903,65.4,151.025,12.0875,7,14,14,14,394,0.22788438132903005,1.7429355815370222,3.02949649036913
35,64,64,4.9628039271952,103.84375,150.875,12.265625,7,14,14,14,330,0.23447155694785005,1.8105669592565876,3.0970451203561344
36,71,71,5.137516647158831,123.4225352112676,150.83098591549296,12.211267605633802,7,15,14,15,330,0.2512710283134545,1.7863925034055452,2.935602495346652
38,73,73,5.1853102442204015,143.08219178082192,150.36986301369862,12.41095890410959,7,14,14,14,322,0.2623273021553753,1.7752050860141664,2.963492373538143
39,83,83,5.412025364749767,114.18072289156626,160.65060240963857,12.168674698795181,7,16,15,16,402,0.22889877387086696,1.6623685043757868,3.0930441416369945
40,87,87,5.497605134632529,133.8735632183908,160.20689655172413,12.241379310344827,7,15,14,15,370,0.25662279779304514,1.8177706027007214,3.235979975823346
