strut_id,junction0_id,junction1_id,junction0_degree,junction1_degree,unit_cell_ids,unit_cell_indices,stage2_classification,expected_by_0point5_cad,primary_defect,secondary_defects,overall_deviation_score,missing_score,broken_score,thin_score,inflated_score,bend_score,sampled_occupancy,sampled_mean_intensity,median_cross_section_radius_um,p10_cross_section_radius_um,radius_cv,median_outside_nominal_fraction,max_centerline_offset_um,rms_centerline_offset_um,bend_curvature_um,longest_low_material_run_stations,valid_station_fraction,confidence,needs_review
0,0,9,3,8,0,"0,0,0",Nominal,False,Inflated,,585711.3125,0.0,0.0,0.0,585714.3125,0.0,0.7505267858505249,44118.08203125,302.1592712402344,287.58868408203125,0.03342907875776291,0.5857142806053162,97.91119384765625,76.52496337890625,12.774784088134766,0,1.0,nominal_reference_calibrated,False
1,1,9,2,8,0,"0,0,0",Nominal,False,Inflated,,799997.0,0.0,0.0,0.0,800000.0,0.0,0.999578595161438,48979.5859375,348.3899841308594,348.3899841308594,0.000944589264690876,0.800000011920929,3.1133041381835938,0.6793816685676575,6.22915506362915,0,1.0,nominal_reference_calibrated,False
2,2,9,1,8,0,"0,0,0",Nominal,False,Inflated,,785711.25,0.0,0.0,0.0,785714.25,0.0,0.98525071144104,48117.0390625,346.8450012207031,342.1682434082031,0.011689003556966782,0.7857142686843872,25.23545265197754,8.651551246643066,14.326789855957031,0,1.0,nominal_reference_calibrated,False
3,3,9,2,8,0,"0,0,0",Nominal,False,Inflated,,628568.4375,0.0,0.0,0.0,628571.4375,0.0,0.9629161357879639,47669.82421875,342.1682434082031,334.22821044921875,0.017146438360214233,0.6285714507102966,24.22336196899414,13.727527618408203,17.334672927856445,0,1.0,nominal_reference_calibrated,False
4,0,10,3,8,0,"0,0,0",Nominal,False,Nominal,,0.0,1.8657273054122925,0.0,1.8676090240478516,0.0,0.9774365425109863,0.15002107620239258,36020.22265625,142.85755920410156,103.6397705078125,0.14895586669445038,0.0,126.85530853271484,80.33270263671875,69.75348663330078,0,1.0,nominal_reference_calibrated,False
5,3,10,2,8,0,"0,0,0",Nominal,False,Nominal,,0.0,1.077008605003357,0.0,1.0035276412963867,0.0,0.1835736334323883,0.21112516522407532,37019.7265625,163.86886596679688,135.12973022460938,0.13774825632572174,0.0,107.21121978759766,91.66216278076172,56.00588607788086,0,1.0,nominal_reference_calibrated,False
6,4,10,1,8,0,"0,0,0",Nominal,False,Nominal,,0.0,0.8104763031005859,0.0,0.8700684905052185,0.0,0.26907724142074585,0.23177412152290344,37481.5390625,167.11410522460938,157.177490234375,0.048204101622104645,0.0,146.83079528808594,125.29895782470703,49.8096923828125,0,1.0,nominal_reference_calibrated,False
7,5,10,2,8,0,"0,0,0",Nominal,False,Bent,,999997.0,1000000.0,1000000.0,1.1396838426589966,0.0,6.210474491119385,0.18921196460723877,36757.54296875,160.55804443359375,122.62822723388672,0.1604917347431183,0.0,121.29534912109375,66.71895599365234,160.37582397460938,1,1.0,nominal_reference_calibrated,False
8,0,12,3,8,0,"0,0,0",Nominal,False,Nominal,,0.0,0.3154873847961426,0.0,0.23829057812690735,0.0,0.44298097491264343,0.2701222002506256,37499.56640625,182.4766387939453,150.18829345703125,0.12557369470596313,0.0,157.83253479003906,93.86768341064453,59.23431396484375,0,1.0,nominal_reference_calibrated,False
9,1,12,2,8,0,"0,0,0",Nominal,False,Bent,,0.10048937797546387,0.13598588109016418,0.0,0.48439931869506836,0.0,3.100489377975464,0.28402864933013916,38008.29296875,176.49217224121094,122.62822723388672,0.25109386444091797,0.0,253.6245880126953,145.95095825195312,106.51913452148438,0,1.0,nominal_reference_calibrated,False
