component,voxels,volume_mm3,centroid_z_voxel,centroid_y_voxel,centroid_x_voxel,bbox_z,bbox_y,bbox_x
1,170734,267.7405379398775,14.14872257429686,187.35560579615074,220.38249557791653,28,360,359
1806,96620,151.51692560211185,370.4342786172635,206.89221693231215,192.06554543572759,24,358,359
52,97,0.15211283154010402,25.123711340206185,282.1855670103093,370.4020618556701,13,17,17
31,86,0.13486292280875203,24.627906976744185,342.75581395348837,310.8953488372093,14,17,17
34,85,0.13329474928772,24.847058823529412,361.1294117647059,332.1294117647059,14,16,17
62,80,0.12545388168256003,25.1875,322.2625,370.375,15,17,18
28,76,0.11918118759843202,24.644736842105264,341.5394736842105,350.44736842105266,14,17,17
37,69,0.10820397295120801,27.6231884057971,43.26086956521739,372.8985507246377,17,8,16
952,69,0.10820397295120801,148.231884057971,125.44927536231884,373.2463768115942,16,16,13
259,67,0.10506762590914401,45.1044776119403,263.13432835820896,331.0,14,17,17
294,63,0.098794931825016,48.888888888888886,183.47619047619048,373.4761904761905,17,16,14
707,63,0.098794931825016,106.5079365079365,162.8095238095238,372.984126984127,16,16,14
1148,59,0.09252223774088801,187.77966101694915,243.77966101694915,374.0,16,16,13
12,59,0.09252223774088801,25.88135593220339,24.423728813559322,352.0169491525424,15,5,15
272,59,0.09252223774088801,45.220338983050844,358.77966101694915,354.47457627118644,14,5,14
703,58,0.09095406421985601,107.3103448275862,84.48275862068965,373.0689655172414,16,16,14
295,58,0.09095406421985601,45.01724137931034,181.75862068965517,332.86206896551727,13,6,13
257,57,0.08938589069882402,44.98245614035088,240.7719298245614,353.3859649122807,14,5,15
309,56,0.087817717177792,45.375,259.6607142857143,373.23214285714283,14,5,14
448,55,0.08624954365676,65.34545454545454,279.6727272727273,373.8363636363636,14,5,14
290,54,0.08468137013572802,45.7037037037037,141.96296296296296,372.6111111111111,14,5,15
958,54,0.08468137013572802,147.4814814814815,202.96296296296296,373.9074074074074,16,17,12
280,54,0.08468137013572802,46.129629629629626,83.5925925925926,352.5,14,5,14
284,54,0.08468137013572802,46.370370370370374,102.53703703703704,372.5,14,4,15
579,53,0.08311319661469602,84.9245283018868,161.47169811320754,352.9622641509434,13,4,14
262,52,0.081545023093664,45.36538461538461,279.6923076923077,353.90384615384613,15,5,14
445,52,0.081545023093664,65.0,259.9230769230769,353.7307692307692,14,5,14
270,52,0.081545023093664,45.59615384615385,338.6923076923077,374.15384615384613,14,5,14
1042,52,0.081545023093664,165.44230769230768,103.3076923076923,373.36538461538464,16,11,14
289,51,0.07997684957263201,45.84313725490196,142.5686274509804,333.1372549019608,14,5,14
1330,51,0.07997684957263201,226.80392156862746,125.31372549019608,373.27450980392155,15,16,13
441,50,0.07840867605160001,64.14,240.12,372.54,14,5,14
955,50,0.07840867605160001,146.88,163.44,373.42,16,16,13
574,50,0.07840867605160001,84.86,102.52,372.22,14,5,13
439,49,0.076840502530568,65.40816326530613,220.6122448979592,354.0204081632653,14,4,14
