lower_inclusive,upper_exclusive,voxel_count,percent
0,4096,208,0.00004006781053138287
4096,8192,1167,0.0002248035331255952
8192,12288,5272,0.0010155648900069736
12288,16384,16962,0.003267452895352482
16384,20480,68100,0.013118355274938334
20480,24576,368926,0.07106758205817768
24576,28672,2402289,0.462761829296275
28672,32768,323630117,62.342068318294565
32768,36864,114318841,22.021661833438863
36864,40960,23449479,4.51716000784443
40960,45056,16183295,3.1174480665070945
45056,49152,17671058,3.4040413645821035
49152,53248,13594149,2.618691281093211
53248,57344,6607937,1.2729113832659351
57344,61440,799442,0.1539994739751432
61440,65536,2713,0.0005226152402482775
