strut_id,classification,ct_material_occupancy,thickness_proxy_um,cad_thickness_parameter,voxel_size_um
0,Nominal,0.766937673,610.467655,0.1,58.09
1,Nominal,0.989159882,693.291490,0.1,58.09
2,Nominal,0.991095603,693.969522,0.1,58.09
3,Nominal,0.926829278,671.092669,0.1,58.09
4,Nominal,0.197057679,309.442032,0.1,58.09
5,Nominal,0.198606268,310.655536,0.1,58.09
6,Nominal,0.252806813,350.491112,0.1,58.09
7,Nominal,0.227255136,332.306989,0.1,58.09
8,Nominal,0.348819196,411.701843,0.1,58.09
9,Nominal,0.277971357,367.521412,0.1,58.09
10,Missing_Intentional,0.000000000,0.000000,0.1,58.09
11,Nominal,0.434378624,459.427350,0.1,58.09
12,Nominal,0.422377080,453.036083,0.1,58.09
13,Nominal,0.367402256,422.526091,0.1,58.09
14,Nominal,0.233062327,336.526030,0.1,58.09
15,Nominal,0.278745651,368.032925,0.1,58.09
16,Nominal,0.620209038,548.973863,0.1,58.09
17,Nominal,0.338366240,405.486253,0.1,58.09
18,Nominal,0.413085550,448.025388,0.1,58.09
19,Nominal,0.274099886,364.953094,0.1,58.09
20,Nominal,0.230352297,334.563760,0.1,58.09
21,Nominal,0.248935342,347.797056,0.1,58.09
22,Nominal,0.321718931,395.385676,0.1,58.09
23,Nominal,0.388308167,434.381064,0.1,58.09
24,Nominal,0.994192779,695.053004,0.1,58.09
25,Nominal,1.000000000,697.080000,0.1,58.09
26,Nominal,1.000000000,697.080000,0.1,58.09
27,Nominal,1.000000000,697.080000,0.1,58.09
28,Nominal,0.417344183,450.328885,0.1,58.09
29,Nominal,0.343399137,408.490746,0.1,58.09
30,Nominal,0.288037181,374.116531,0.1,58.09
31,Nominal,0.319008917,393.716879,0.1,58.09
32,Nominal,0.495160669,490.518841,0.1,58.09
33,Nominal,0.475803316,480.835312,0.1,58.09
34,Nominal,0.380178094,429.809655,0.1,58.09
35,Nominal,0.411149830,446.974431,0.1,58.09
36,Nominal,0.492450625,489.174679,0.1,58.09
37,Nominal,0.598915994,539.467863,0.1,58.09
38,Nominal,0.197831973,310.049378,0.1,58.09
39,Nominal,0.365079373,421.188273,0.1,58.09
40,Nominal,0.702671289,584.330731,0.1,58.09
41,Nominal,0.347657770,411.015871,0.1,58.09
42,Nominal,0.305458754,385.264427,0.1,58.09
43,Nominal,0.436701506,460.654128,0.1,58.09
44,Nominal,0.268679827,361.326782,0.1,58.09
45,Nominal,0.296167254,379.359655,0.1,58.09
46,Nominal,0.316298872,392.040960,0.1,58.09
