strut_id,classification,screening_status,ct_material_occupancy,thickness_proxy_um,distance_from_nominal_median_um,centroid_x_um,centroid_y_um,centroid_z_um,excess_voxels,excess_fraction_of_mask
0,Nominal,overly_thick,0.766937673,610.467655,269.360937,4599.809529876709,4172.405370178223,1534.9394565773011,244,0.0008097219733322715
1,Nominal,overly_thick,0.989159882,693.291490,352.184772,6893.684230880738,4160.741455535889,1536.8401942443847,316,0.0010486563261188433
2,Nominal,overly_thick,0.991095603,693.969522,352.862803,6905.353463821411,6454.60773590088,1530.4942455482483,317,0.0010519748587964346
3,Nominal,overly_thick,0.926829278,671.092669,329.985951,4611.479206008911,6466.272093734741,1528.5933970832825,278,0.0009225520843703748
10,Missing_Intentional,overly_thin,0.000000000,0.000000,-341.106718,4591.172170181275,3035.005722961426,4978.955450439454,0,0.0
16,Nominal,overly_thick,0.620209038,548.973863,207.867145,6898.584599609376,5310.852278976441,2680.6149300003053,12,3.9822392131095315e-05
24,Nominal,overly_thick,0.994192779,695.053004,353.946286,9187.558931884767,4149.077097702027,1538.7410427093507,305,0.0010121524666653393
25,Nominal,overly_thick,1.000000000,697.080000,355.973282,11481.433189697267,4137.412739868164,1540.6418911743165,371,0.0012311756233863635
26,Nominal,overly_thick,1.000000000,697.080000,355.973282,11493.10242263794,6431.279020233154,1534.29594247818,374,0.0012411312214191373
27,Nominal,overly_thick,1.000000000,697.080000,355.973282,9199.227278442384,6442.9438212585455,1532.3950940132142,393,0.0013041833422933716
40,Nominal,overly_thick,0.702671289,584.330731,243.224012,11486.333115234376,5287.5240065002445,2684.416626930237,30,9.955598032773829e-05
48,Nominal,overly_thick,1.000000000,697.080000,355.973282,13775.307447509766,4125.748382034302,1542.5427396392822,358,0.001188034698577677
49,Nominal,overly_thick,1.000000000,697.080000,355.973282,16069.181705322266,4114.08402420044,1544.4435881042482,399,0.0013240945383589191
50,Nominal,overly_thick,1.000000000,697.080000,355.973282,16080.850051879885,6407.951190948486,1538.0976394081117,394,0.0013075018749709628
51,Nominal,overly_thick,1.000000000,697.080000,355.973282,13786.97668045044,6419.61510559082,1536.1967909431457,404,0.0013406872017468756
61,Nominal,overly_thick,0.623306215,550.342879,209.236160,13780.207373046876,5275.859205474854,2686.317475395203,44,0.00014601543781401615
64,Nominal,overly_thick,0.717382908,590.416023,249.309305,16074.081630859377,5264.19529083252,2688.2183238601688,73,0.00024225288546416316
71,Nominal,overly_thick,0.651567936,562.681290,221.574572,14932.980447998048,6416.960388336182,2684.0948698806765,73,0.00024225288546416316
72,Nominal,overly_thick,1.000000000,697.080000,355.973282,18363.055963134768,4102.420109558106,1546.344436569214,396,0.0013141389403261454
73,Nominal,overly_thick,1.000000000,697.080000,355.973282,20656.930220947266,4090.7561949157716,1548.2452850341797,401,0.0013307316037141019
74,Nominal,overly_thick,1.000000000,697.080000,355.973282,20668.600340270998,6384.622475280762,1541.8992255401613,395,0.001310820407648554
75,Nominal,overly_thick,1.000000000,697.080000,355.973282,18374.726082458496,6396.286833114625,1539.9983770751953,403,0.0013373686690692844
76,Nominal,overly_thick,0.639179230,557.306296,216.199578,17215.18635925293,4111.430193328858,2692.3417778396606,22,7.300771890700808e-05
77,Nominal,overly_thick,0.632984877,554.599265,213.492546,17226.854705810547,6405.296473693848,2685.995718345642,72,0.0002389343527865719
85,Nominal,overly_thick,0.780874968,615.989590,274.882872,18367.957661437988,5252.531376190186,2690.1191723251345,60,0.00019911196065547658
88,Nominal,overly_thick,0.763066173,608.924886,267.818167,20661.83191925049,5240.867018356324,2692.0200207901003,65,0.00021570462404343294
95,Nominal,overly_thick,0.709252834,587.060909,245.954190,19520.72896362305,6393.632115859986,2687.896566810608,81,0.0002688011468848934
96,Nominal,overly_thick,1.000000000,697.080000,355.973282,22950.80447875977,4079.0918370819095,1550.1461334991457,403,0.0013373686690692844
97,Nominal,overly_thick,1.000000000,697.080000,355.973282,25244.68050933838,4067.427479248047,1552.0469819641114,410,0.0013605983978124232
98,Nominal,overly_thick,1.000000000,697.080000,355.973282,25256.350628662112,6361.293759613038,1545.7009224700928,397,0.0013174574730037366
99,Nominal,overly_thick,1.000000000,697.080000,355.973282,22962.474598083496,6372.958560638428,1543.800074005127,404,0.0013406872017468756
101,Nominal,overly_thick,0.652729392,563.182572,222.075854,21814.603221435547,6381.968201217652,2689.7974152755737,97,0.00032189766972635377
105,Nominal,overly_thick,0.632210612,554.259969,213.153251,25237.91031555176,2923.6720223236084,2702.1677772140506,23,7.632625158459936e-05
109,Nominal,overly_thick,0.834688365,636.861217,295.754499,22955.706177062988,5229.202660522461,2693.920869255066,78,0.0002588455488521195
112,Nominal,overly_thick,0.750290334,603.805825,262.699107,25249.58043487549,5217.538745880127,2695.8217177200318,97,0.00032189766972635377
119,Nominal,overly_thick,0.684475422,576.715404,235.608686,24108.47747924805,6370.303843383789,2691.69826374054,111,0.0003683571272126317
120,Nominal,overly_thick,1.000000000,697.080000,355.973282,27538.55476715088,4055.7631214141848,1553.9478304290772,414,0.0013738725285227884
121,Nominal,overly_thick,1.000000000,697.080000,355.973282,29832.427252197267,4044.0987635803226,1555.8486788940431,413,0.0013705539958451972
122,Nominal,overly_thick,1.000000000,697.080000,355.973282,29844.099144287113,6337.965043945313,1549.5026194000245,403,0.0013373686690692844
123,Nominal,overly_thick,1.000000000,697.080000,355.973282,27550.22488647461,6349.629844970704,1547.6017709350588,409,0.001357279865134832
124,Nominal,overly_thick,0.624854803,551.026111,209.919393,26390.68339050293,4064.7732051849366,2699.945171699524,51,0.00016924516655715508
129,Nominal,overly_thick,0.716221452,589.937882,248.831164,29825.662376708988,2900.3437498474123,2705.969474143982,38,0.0001261042417484685
133,Nominal,overly_thick,0.847464204,641.716645,300.609926,27543.45469268799,5205.873944854737,2697.7225661849975,82,0.00027211967956248465
136,Nominal,overly_thick,0.723190069,592.800893,251.694175,29837.327177734376,5194.210030212403,2699.6234146499637,111,0.0003683571272126317
143,Nominal,overly_thick,0.691056907,579.481437,238.374719,28696.22599487305,6346.975127716065,2695.4999606704714,125,0.00041481658469890955
144,Nominal,overly_thick,1.000000000,697.080000,355.973282,32126.30151000977,4032.4348489379886,1557.7495273590089,422,0.0014004207899435187
145,Nominal,overly_thick,1.000000000,697.080000,355.973282,34420.17576782227,4020.770491104126,1559.6503758239746,407,0.0013506427997796494
146,Nominal,overly_thick,1.000000000,697.080000,355.973282,34431.84765991211,6314.6372146606445,1553.3043163299562,394,0.0013075018749709628
147,Nominal,overly_thick,1.000000000,697.080000,355.973282,32137.97340209961,6326.301129302979,1551.4034678649903,404,0.0013406872017468756
153,Nominal,overly_thick,0.720092893,591.530149,250.423431,34413.41089233399,2877.0150341796875,2709.7711710739136,40,0.00013274130710365104
157,Nominal,overly_thick,0.815718174,629.582564,288.475845,32131.20143554688,5182.546115570069,2701.5242631149295,106,0.0003517644638246753
167,Nominal,overly_thick,0.623306215,550.342879,209.236160,33283.97451049805,6323.646855239868,2699.301657600403,141,0.0004679131075403699
168,Nominal,overly_thick,1.000000000,697.080000,355.973282,36714.050025634766,4009.1065764617924,1561.5512242889406,418,0.0013871466592331534
169,Nominal,overly_thick,1.000000000,697.080000,355.973282,39007.92428344727,3997.44221862793,1563.4520727539064,406,0.0013473242671020581
170,Nominal,overly_thick,1.000000000,697.080000,355.973282,39019.59617553711,6291.30849899292,1557.1060132598877,405,0.0013440057344244669
171,Nominal,overly_thick,1.000000000,697.080000,355.973282,36725.72191772461,6302.9733000183105,1555.205164794922,403,0.0013373686690692844
177,Nominal,overly_thick,0.645760715,560.168177,219.061459,39001.159407958985,2853.6867617034914,2713.5728680038455,49,0.00016260810120197254
181,Nominal,overly_thick,0.796747983,622.218771,281.112053,36718.949951171875,5159.217399902344,2705.325960044861,86,0.00028539381027284973
192,Nominal,overly_thick,1.000000000,697.080000,355.973282,41301.80208679199,3985.7778607940677,1565.352921218872,430,0.0014269690513642487
193,Nominal,overly_thick,0.927990735,671.513028,330.406309,43595.67634460449,3974.113502960205,1567.253769683838,285,0.0009457818131135137
194,Nominal,overly_thick,0.996902823,695.999673,354.892955,43607.344691162114,6267.980226516724,1560.9077101898195,349,0.0011581679044793554
195,Nominal,overly_thick,1.000000000,697.080000,355.973282,41313.47043334961,6279.644584350586,1559.0068617248537,391,0.001297546276938189
199,Nominal,overly_thin,0.071622148,186.554742,-154.551976,40152.06044189454,4001.143311080933,5005.245571899414,29,9.6237447650147e-05
200,Nominal,overly_thin,0.048393343,153.347053,-187.759666,44741.68099853516,3971.4596720886234,2715.1519594192505,25,8.296331693978191e-05
201,Nominal,overly_thin,0.065040648,177.776787,-163.329932,44753.34934509278,6265.325952453613,2708.805899925232,30,9.955598032773829e-05
202,Nominal,overly_thin,0.077042200,193.484848,-147.621871,44739.80895751953,3977.8150386047364,5009.047268829346,18,5.9733588196642975e-05
203,Nominal,overly_thin,0.044521872,147.085320,-194.021398,44751.480849609376,6271.681318969727,5002.701209335328,24,7.964478426219063e-05
207,Nominal,overly_thin,0.064653501,177.246899,-163.859819,43587.035882568365,2836.713855743408,5011.269431152344,43,0.00014269690513642487
208,Nominal,overly_thin,0.061943475,173.492380,-167.614338,41304.833516845705,5142.244493942261,5003.022966384888,38,0.0001261042417484685
209,Nominal,overly_thick,0.692218363,579.968199,238.861480,41306.7020123291,5135.888684234619,2709.1276569747924,62,0.00020574902601065912
213,Nominal,overly_thin,0.068137825,181.960346,-159.146372,43605.47974121094,6274.336036224366,3854.8032411956788,19,6.305212087423425e-05
214,Expected_Missing_But_Material_Present,overly_thin,0.066976383,180.402881,-160.703837,43598.70777465821,5130.580136108399,5004.923814849853,4,1.3274130710365105e-05
220,Nominal,overly_thick,0.896244705,659.927040,318.820322,4623.148438949585,8760.137930908204,1522.247448387146,280,0.0009291891497255573
221,Nominal,overly_thick,1.000000000,697.080000,355.973282,6917.023139953613,8748.474016265869,1524.1482968521118,391,0.001297546276938189
222,Nominal,overly_thick,0.995741367,695.594113,354.487394,6928.6923728942875,11042.34029663086,1517.8022373580934,300,0.0009955598032773828
223,Nominal,overly_thick,0.941540837,676.397826,335.291108,4634.818115081787,11054.00509765625,1515.9013888931274,289,0.0009590559438238789
236,Nominal,overly_thick,0.660085201,566.347021,225.240303,6921.923065490723,9898.58528289795,2667.9230326080324,21,6.96891862294168e-05
244,Nominal,overly_thick,1.000000000,697.080000,355.973282,9210.897397766113,8736.810101623536,1526.0491453170778,369,0.001224538558031181
245,Nominal,overly_thick,1.000000000,697.080000,355.973282,11504.771655578614,8725.145300598146,1527.9499937820435,389,0.0012909092115830066
246,Nominal,overly_thick,1.000000000,697.080000,355.973282,11516.441774902345,11019.012467346192,1521.603934288025,395,0.001310820407648554
247,Nominal,overly_thick,1.000000000,697.080000,355.973282,9222.567517089845,11030.676381988525,1519.7030858230592,389,0.0012909092115830066
252,Nominal,overly_thick,0.666666687,569.163445,228.056727,9204.128976745606,7593.055087890625,2676.1697189712527,40,0.00013274130710365104
253,Nominal,overly_thick,0.633759201,554.938379,213.831661,11498.003234558106,7581.390286865235,2678.0705674362184,62,0.00020574902601065912
260,Nominal,overly_thick,0.814556718,629.134190,288.027472,11509.67246749878,9875.257453613282,2671.724729537964,66,0.00021902315672102423
268,Nominal,overly_thick,1.000000000,697.080000,355.973282,13798.646799774171,8713.48138595581,1529.8507314491274,402,0.0013340501363916931
269,Nominal,overly_thick,1.000000000,697.080000,355.973282,16092.521943969727,8701.817471313478,1531.751579914093,394,0.0013075018749709628
270,Nominal,overly_thick,1.000000000,697.080000,355.973282,16104.190290527345,10995.683751678467,1525.4056312179566,391,0.001297546276938189
271,Nominal,overly_thick,1.000000000,697.080000,355.973282,13810.316032714845,11007.347666320802,1523.5047827529909,389,0.0012909092115830066
272,Nominal,overly_thick,0.688346863,578.344076,237.237357,12650.774536743165,8722.491469726563,2675.847961921692,58,0.000192474895300294
273,Nominal,overly_thick,0.632597744,554.429643,213.322925,12662.444656066895,11016.35863647461,2669.502124023438,73,0.00024225288546416316
276,Nominal,overly_thick,0.751064658,604.117318,263.010600,13791.877492370606,7569.725485839845,2679.971415901184,65,0.00021570462404343294
277,Nominal,overly_thick,0.759969056,607.687883,266.581165,16085.751750183106,7558.062457580567,2681.87226436615,78,0.0002588455488521195
281,Nominal,overly_thick,0.794425070,621.311072,280.204354,13803.547611694337,9863.592652587891,2673.625356407166,100,0.00033185326775912765
284,Nominal,overly_thick,0.810685277,627.637329,286.530611,16097.421869506838,9851.927851562501,2675.5262048721315,105,0.000348445931147084
287,Nominal,overly_thick,0.617886186,547.944870,206.838152,14944.648794555666,8710.826668701173,2677.748810386658,92,0.00030530500633839744
291,Nominal,overly_thick,0.758807600,607.223343,266.116625,14956.318913879395,11004.69383544922,2671.4027508926392,98,0.0003252162024039451
292,Nominal,overly_thick,1.000000000,697.080000,355.973282,18386.396201782227,8690.152670288086,1533.6524283790588,397,0.0013174574730037366
293,Nominal,overly_thick,1.000000000,697.080000,355.973282,20680.27045959473,8678.488755645752,1535.5532768440248,396,0.0013141389403261454
294,Nominal,overly_thick,1.000000000,697.080000,355.973282,20691.938806152346,10972.355036010742,1529.2073281478883,393,0.0013041833422933716
295,Nominal,overly_thick,1.000000000,697.080000,355.973282,18398.064548339844,10984.019837036134,1527.3064796829224,407,0.0013506427997796494
296,Nominal,overly_thick,0.748354614,603.026424,261.919706,17238.523052368164,8699.163640441895,2679.649658851624,105,0.000348445931147084
297,Nominal,overly_thick,0.695702672,581.426013,240.319295,17250.193171691895,10993.02903442383,2673.3038209533693,124,0.00041149805202131824
300,Nominal,overly_thick,0.771196306,612.160204,271.053485,18379.62600799561,7546.397656555177,2683.7731128311157,105,0.000348445931147084
301,Nominal,overly_thick,0.806039512,625.836356,284.729637,20673.500265808107,7534.732855529785,2685.673961296082,101,0.0003351718004367189
305,Nominal,overly_thick,0.852884233,643.765451,302.658732,18391.296127319336,9840.263936920166,2677.4270533370973,134,0.000444683378797231
308,Nominal,overly_thick,0.838946939,638.483781,297.377062,20685.170385131838,9828.600022277833,2679.327901802063,151,0.0005010984343162828
311,Nominal,overly_thick,0.683313966,576.225895,235.119177,19532.397310180666,8687.498839416505,2681.5505073165896,133,0.00044136484611963976
315,Nominal,overly_thick,0.795199394,621.613793,280.507075,19544.069202270508,10981.365119781494,2675.204447822571,154,0.0005110540323490565
316,Nominal,overly_thick,1.000000000,697.080000,355.973282,22974.144717407227,8666.82484100342,1537.4541253089906,404,0.0013406872017468756
317,Nominal,overly_thick,1.000000000,697.080000,355.973282,25268.01897521973,8655.160039978027,1539.3549737739563,386,0.0012809536135502326
318,Nominal,overly_thick,1.000000000,697.080000,355.973282,25279.687321777346,10949.027206726076,1533.008914279938,397,0.0013174574730037366
319,Nominal,overly_thick,1.000000000,697.080000,355.973282,22985.813063964844,10960.691121368409,1531.108176612854,402,0.0013340501363916931
320,Nominal,overly_thick,0.765001953,609.696770,268.590052,21826.271567993164,8675.834038391115,2683.4513557815553,140,0.00046459457486277867
321,Nominal,overly_thick,0.773519158,613.081427,271.974709,21837.94346008301,10969.701205139161,2677.1055178833008,158,0.0005243281630594217
324,Nominal,overly_thick,0.808749497,626.887535,285.780817,22967.37629638672,7523.0698272705085,2687.5748097610476,111,0.0003683571272126317
325,Nominal,overly_thick,0.838946939,638.483781,297.377062,25261.25055419922,7511.405026245117,2689.4756582260134,127,0.00042145365005409206
329,Nominal,overly_thick,0.919086337,668.283560,327.176842,22979.044642944336,9816.935221252443,2681.2287502670288,176,0.0005840617512560646
332,Nominal,overly_thick,0.774680614,613.541532,272.434814,25272.91890075684,9805.272192993165,2683.129598731995,162,0.0005376022937697868
335,Nominal,overly_thick,0.699186981,582.880181,241.773463,24120.147598571777,8664.171010131837,2685.352204246521,151,0.0005010984343162828
339,Nominal,overly_thick,0.789779305,619.491708,278.384989,24131.81771789551,10958.036404113771,2679.0061447525027,186,0.0006172470780319774
340,Nominal,overly_thick,1.000000000,697.080000,355.973282,27561.893233032228,8643.496125335694,1541.2558222389223,404,0.0013406872017468756
341,Nominal,overly_thick,1.000000000,697.080000,355.973282,29855.76749084473,8631.83221069336,1543.156559906006,396,0.0013141389403261454
342,Nominal,overly_thick,1.000000000,697.080000,355.973282,29867.435837402347,10925.69849105835,1536.8106112098694,394,0.0013075018749709628
343,Nominal,overly_thick,1.000000000,697.080000,355.973282,27573.561579589845,10937.362405700684,1534.9097627449037,397,0.0013174574730037366
344,Nominal,overly_thick,0.726674438,594.227250,253.120532,26414.02185638428,8652.506209106446,2687.253052711487,166,0.0005508764244801518
345,Nominal,overly_thick,0.747967482,602.870428,261.763709,26425.69197570801,10946.373375854493,2680.9069932174684,182,0.0006039729473216123
348,Nominal,overly_thick,0.744096041,601.308190,260.201472,27555.12481201172,7499.740225219727,2691.376506690979,158,0.0005243281630594217
349,Nominal,overly_thick,0.857529998,645.516404,304.409686,29848.99906982422,7488.076310577393,2693.277355155945,144,0.0004778687055731438
353,Nominal,overly_thick,0.882694542,654.919382,313.812664,27566.793158569337,9793.607391967775,2685.0304471969607,155,0.0005143725650266478
356,Nominal,overly_thick,0.771583438,612.313833,271.207115,29860.66741638184,9781.942590942383,2686.9312956619265,196,0.0006504324048078902
359,Nominal,overly_thick,0.686798275,577.693153,236.586435,28707.896114196777,8640.841408081054,2689.153901176453,166,0.0005508764244801518
363,Nominal,overly_thick,0.821138203,631.670727,290.564009,28719.56623352051,10934.708574829103,2682.807841682434,190,0.0006305212087423425
364,Nominal,overly_thick,1.000000000,697.080000,355.973282,32149.645294189457,8620.167409667969,1545.0574083709719,397,0.0013174574730037366
365,Nominal,overly_thick,1.000000000,697.080000,355.973282,34443.519552001955,8608.503495025636,1546.9582568359376,396,0.0013141389403261454
366,Nominal,overly_thick,1.000000000,697.080000,355.973282,34455.18435302735,10902.369775390625,1540.6123081398011,398,0.0013207760056813279
367,Nominal,overly_thick,1.000000000,697.080000,355.973282,32161.310095214845,10914.034576416016,1538.7114596748354,405,0.0013440057344244669
368,Nominal,overly_thick,0.723964393,593.118166,252.011448,31001.772144775394,8629.177493438721,2691.0547496414188,194,0.0006437953394527075
369,Nominal,overly_thick,0.708478510,586.740361,245.633642,31013.44049133301,10923.04377380371,2684.7086901474,191,0.0006338397414199338
372,Nominal,overly_thick,0.658923745,565.848543,224.741824,32142.87332763672,7476.412395935059,2695.1782036209106,166,0.0005508764244801518
373,Nominal,overly_thick,0.857142866,645.370678,304.263960,34436.74758544922,7464.747594909669,2697.079052085877,133,0.00044136484611963976
377,Nominal,overly_thick,0.907084763,663.905946,322.799228,32154.545219726566,9770.27867630005,2688.832144126892,168,0.0005575134898353344
380,Nominal,overly_thick,0.701122701,583.686484,242.579766,34448.419477539064,9758.614761657715,2690.732992591858,200,0.0006637065355182553
387,Nominal,overly_thick,0.732094467,596.439208,255.332490,33307.31474914551,10911.379859161378,2686.6095386123657,203,0.0006736621335510291
388,Nominal,overly_thick,1.000000000,697.080000,355.973282,36737.39380981446,8596.839580383301,1548.8591053009034,410,0.0013605983978124232
389,Nominal,overly_thick,1.000000000,697.080000,355.973282,39031.26806762695,8585.17477935791,1550.7599537658693,407,0.0013506427997796494
390,Nominal,overly_thick,1.000000000,697.080000,355.973282,39042.932868652344,10879.041946105957,1544.4140050697329,396,0.0013141389403261454
391,Nominal,overly_thick,1.000000000,697.080000,355.973282,36749.05861083985,10890.705860748292,1542.513156604767,389,0.0012909092115830066
392,Nominal,overly_thick,0.667440951,569.493861,228.387143,35589.52066040039,8605.848777770996,2694.8564465713503,155,0.0005143725650266478
393,Nominal,overly_thick,0.651567936,562.681290,221.574572,35601.18900695801,10899.715944519043,2688.510387077332,192,0.000637158274097525
397,Nominal,overly_thick,0.804490924,625.234878,284.128160,39024.49610107422,7441.419765625001,2700.8807490158083,98,0.0003252162024039451
399,Nominal,overly_thin,0.074332170,190.051381,-151.055338,39022.63115112305,7447.775132141113,4994.776058425904,35,0.00011614864371569467
401,Nominal,overly_thick,0.866434395,648.859197,307.752479,36742.293735351566,9746.949960632324,2692.6338410568237,148,0.0004911428362835089
405,Nominal,overly_thin,0.069686413,184.016462,-157.090256,39041.06791870118,10885.397312622072,3838.30942527771,2,6.637065355182553e-06
411,Nominal,overly_thick,0.625629127,551.367423,210.260704,37895.06326477051,10888.051143493652,2690.4112355422976,153,0.0005077354996714653
412,Nominal,overly_thick,1.000000000,697.080000,355.973282,41325.142325439454,8573.510864715578,1552.660802230835,410,0.0013605983978124232
413,Nominal,overly_thick,0.999225736,696.810086,355.703367,43619.016583251956,8561.846950073243,1554.5616506958008,351,0.001164804969834538
414,Nominal,overly_thick,0.998451412,696.540046,355.433328,43630.68492980957,10855.713230438234,1548.2157019996644,389,0.0012909092115830066
415,Nominal,overly_thick,1.000000000,697.080000,355.973282,41336.807126464846,10867.377145080567,1546.3148535346986,396,0.0013141389403261454
420,Nominal,overly_thin,0.042586140,143.852284,-197.254434,44765.01769165039,8559.192232818605,2702.4598404312137,22,7.300771890700808e-05
421,Nominal,overly_thin,0.088269457,207.103697,-134.003022,44776.68958374023,10853.058513183594,2696.113780937195,29,9.6237447650147e-05
422,Nominal,overly_thin,0.084785134,202.974966,-138.131752,44763.149196166996,8565.548485717774,4996.355149841309,16,5.309652284146042e-05
423,Nominal,overly_thin,0.042198993,143.196917,-197.909801,44774.81754272461,10859.413879699709,4990.009533538819,25,8.296331693978191e-05
427,Nominal,overly_thin,0.036004648,132.270168,-208.836550,43610.37966674805,7424.446859664918,4998.5777553558355,37,0.00012278570907087722
428,Nominal,overly_thin,0.055749130,164.589326,-176.517392,41328.17020996094,9729.97749786377,4990.330847396851,50,0.00016592663387956383
429,Nominal,overly_thick,0.629113436,552.900653,211.793935,41330.04225097656,9723.622131347656,2696.4355379867557,89,0.00029534940830562356
433,Nominal,overly_thin,0.069299266,183.504593,-157.602125,43628.816434326174,10862.069483337404,3842.111122207642,24,7.964478426219063e-05
437,Nominal,overly_thin,0.056523424,165.728367,-175.378351,42469.274938354494,8577.212400360107,4994.454301376343,33,0.00010951157836051211
440,Nominal,overly_thick,0.917924881,667.861169,326.754451,4646.487348022461,13347.87137802124,1509.555329399109,281,0.0009325076824031486
441,Nominal,overly_thick,1.000000000,697.080000,355.973282,6940.361605834962,13336.207463378907,1511.4561778640748,383,0.0012709980155174588
442,Nominal,overly_thick,0.999225736,696.810086,355.703367,6952.030838775635,15630.072857360841,1505.1102291679383,313,0.0010387007280860696
443,Nominal,overly_thick,0.965543926,684.965410,343.858692,4658.156580963135,15641.737658386231,1503.2093807029726,283,0.0009391447477583312
448,Nominal,overly_thick,0.617886186,547.944870,206.838152,4639.718483810425,12204.115477905274,2659.6761246490482,2,6.637065355182553e-06
456,Nominal,overly_thick,0.665118098,568.502011,227.395293,6945.262417755127,14486.31784362793,2655.230913619995,30,9.955598032773829e-05
464,Nominal,overly_thick,1.000000000,697.080000,355.973282,9234.235863647462,13324.542662353517,1513.3570263290405,376,0.0012477682867743198
465,Nominal,overly_thick,1.000000000,697.080000,355.973282,11528.110121459962,13312.878747711182,1515.2578747940065,404,0.0013406872017468756
466,Nominal,overly_thick,1.000000000,697.080000,355.973282,11539.780240783692,15606.745028076173,1508.911815299988,385,0.0012776350808726413
467,Nominal,overly_thick,1.000000000,697.080000,355.973282,9245.905982971191,15618.409829101563,1507.0109668350221,386,0.0012809536135502326
472,Nominal,overly_thick,0.775067747,613.694816,272.588098,9227.467442626954,12180.787648620606,2663.4778215789797,56,0.00018583782994511147
473,Nominal,overly_thick,0.681765378,575.572577,234.465858,11521.341700439454,12169.122847595216,2665.3786700439455,71,0.00023561582010898062
477,Nominal,overly_thick,0.612078965,545.363854,204.257135,9239.136675567628,14474.653928985597,2657.131762084961,48,0.00015928956852438126
480,Nominal,overly_thick,0.793650806,621.008227,279.901508,11533.010933380128,14462.990014343262,2659.032610549927,75,0.0002488899508193457
