strut_id,classification,screening_status,ct_material_occupancy,thickness_proxy_um,distance_from_nominal_median_um,centroid_x_um,centroid_y_um,centroid_z_um,excess_voxels,excess_fraction_of_mask
0,Nominal,overly_thick,0.766937673,610.467655,269.360937,4599.809529876709,4172.405370178223,1534.9394565773011,244,0.0008097219733322715
1,Nominal,overly_thick,0.989159882,693.291490,352.184772,6893.684230880738,4160.741455535889,1536.8401942443847,316,0.0010486563261188433
2,Nominal,overly_thick,0.991095603,693.969522,352.862803,6905.353463821411,6454.60773590088,1530.4942455482483,317,0.0010519748587964346
3,Nominal,overly_thick,0.926829278,671.092669,329.985951,4611.479206008911,6466.272093734741,1528.5933970832825,278,0.0009225520843703748
4,Nominal,within_reference,0.197057679,309.442032,-31.664686,3451.93815322876,4181.415453948975,2680.9366870498657,0,0.0
5,Nominal,within_reference,0.198606268,310.655536,-30.451182,3463.607386169434,6475.281734313965,2674.5906275558473,0,0.0
6,Nominal,within_reference,0.252806813,350.491112,9.384393,3461.7388906860356,6481.637100830078,4968.486380157471,0,0.0
7,Nominal,within_reference,0.227255136,332.306989,-8.799729,3450.0696577453614,4187.770820465088,4974.831996459961,0,0.0
8,Nominal,within_reference,0.348819196,411.701843,70.595125,4593.040665664673,3028.6499132537842,2685.060141029358,0,0.0
9,Nominal,within_reference,0.277971357,367.521412,26.414694,6886.915366668702,3016.9857770156864,2686.9609894943237,3,9.955598032773829e-06
10,Missing_Intentional,overly_thin,0.000000000,0.000000,-341.106718,4591.172170181275,3035.005722961426,4978.955450439454,0,0.0
11,Nominal,within_reference,0.434378624,459.427350,118.320631,6885.046871185303,3023.3413651275637,4980.856298904419,0,0.0
12,Nominal,within_reference,0.422377080,453.036083,111.929365,4602.841403121948,5328.872003326416,4972.609834136963,0,0.0
13,Nominal,within_reference,0.367402256,422.526091,81.419373,4604.710341796876,5322.516636810303,2678.7140815353396,2,6.637065355182553e-06
14,Nominal,within_reference,0.233062327,336.526030,-4.580689,4609.610267333985,6472.627017059326,3822.48881729126,0,0.0
15,Nominal,within_reference,0.278745651,368.032925,26.926206,4597.9410343933105,4178.760736694337,3828.8348767852785,0,0.0
16,Nominal,overly_thick,0.620209038,548.973863,207.867145,6898.584599609376,5310.852278976441,2680.6149300003053,12,3.9822392131095315e-05
17,Nominal,within_reference,0.338366240,405.486253,64.379535,6903.4849683380135,6460.963102416992,3824.389665756226,0,0.0
18,Nominal,within_reference,0.413085550,448.025388,106.918669,6896.716104125977,5317.208088684082,4974.510239410401,0,0.0
19,Nominal,within_reference,0.274099886,364.953094,23.846376,5745.81241104126,4169.751096115113,2682.837535514832,2,6.637065355182553e-06
20,Nominal,within_reference,0.230352297,334.563760,-6.542958,6891.815292205811,4167.096822052003,3830.7357252502443,0,0.0
21,Nominal,within_reference,0.248935342,347.797056,6.690338,5743.943915557862,4176.106905822754,4976.733288116456,0,0.0
22,Nominal,within_reference,0.321718931,395.385676,54.278957,5755.613148498535,6469.973186187744,4970.386785430908,0,0.0
23,Nominal,within_reference,0.388308167,434.381064,93.274346,5757.482087173462,6463.617376480103,2676.491476020813,5,1.659266338795638e-05
24,Nominal,overly_thick,0.994192779,695.053004,353.946286,9187.558931884767,4149.077097702027,1538.7410427093507,305,0.0010121524666653393
25,Nominal,overly_thick,1.000000000,697.080000,355.973282,11481.433189697267,4137.412739868164,1540.6418911743165,371,0.0012311756233863635
26,Nominal,overly_thick,1.000000000,697.080000,355.973282,11493.10242263794,6431.279020233154,1534.29594247818,374,0.0012411312214191373
27,Nominal,overly_thick,1.000000000,697.080000,355.973282,9199.227278442384,6442.9438212585455,1532.3950940132142,393,0.0013041833422933716
28,Nominal,within_reference,0.417344183,450.328885,109.222167,8039.6875552368165,4158.08673828125,2684.7383839797976,3,9.955598032773829e-06
29,Nominal,within_reference,0.343399137,408.490746,67.384028,8051.355901794434,6451.953461837769,2678.3923244857788,18,5.9733588196642975e-05
30,Nominal,within_reference,0.288037181,374.116531,33.009812,8049.487406311036,6458.308828353882,4972.288077087403,0,0.0
31,Nominal,within_reference,0.319008917,393.716879,52.610161,8037.8190597534185,4164.442547988891,4978.633693389893,0,0.0
32,Nominal,within_reference,0.495160669,490.518841,149.412122,9180.789624481202,3005.321640777588,2688.86183795929,5,1.659266338795638e-05
33,Nominal,within_reference,0.475803316,480.835312,139.728594,11474.663882293702,2993.657282943726,2690.7626864242557,15,4.9777990163869145e-05
34,Nominal,within_reference,0.380178094,429.809655,88.702937,9178.921128997803,3011.6770072937015,4982.757147369385,0,0.0
35,Nominal,within_reference,0.411149830,446.974431,105.867712,11472.795386810303,3000.0128710556032,4984.657995834351,0,0.0
36,Nominal,within_reference,0.492450625,489.174679,148.067961,9190.590361938477,5305.54373085022,4976.411087875366,0,0.0
37,Nominal,within_reference,0.598915994,539.467863,198.361145,9192.458857421876,5299.1879211425785,2682.515778465271,23,7.632625158459936e-05
38,Nominal,within_reference,0.197831973,310.049378,-31.057340,9197.359669342042,6449.299187774659,3826.2905142211916,0,0.0
39,Nominal,within_reference,0.365079373,421.188273,80.081555,9185.690436401368,4155.43246421814,3832.63657371521,0,0.0
40,Nominal,overly_thick,0.702671289,584.330731,243.224012,11486.333115234376,5287.5240065002445,2684.416626930237,30,9.955598032773829e-05
41,Nominal,within_reference,0.347657770,411.015871,69.909153,11491.234813537598,6437.634829940796,3828.1913626861574,0,0.0
42,Nominal,within_reference,0.305458754,385.264427,44.157709,11484.464619750977,5293.879373016358,4978.311936340332,0,0.0
43,Nominal,within_reference,0.436701506,460.654128,119.547410,10333.561813049317,4146.422823638916,2686.6392324447634,11,3.650385945350404e-05
44,Nominal,within_reference,0.268679827,361.326782,20.220063,11479.564694213868,4143.768106384277,3834.537422180176,0,0.0
45,Nominal,within_reference,0.296167254,379.359655,38.252937,10331.693317565918,4152.77819015503,4980.534541854859,0,0.0
46,Nominal,within_reference,0.316298872,392.040960,50.934242,10343.362550506592,6446.644913711548,4974.18848236084,0,0.0
47,Nominal,within_reference,0.512195110,498.884874,157.778156,10345.23104598999,6440.289104003907,2680.293172950745,21,6.96891862294168e-05
48,Nominal,overly_thick,1.000000000,697.080000,355.973282,13775.307447509766,4125.748382034302,1542.5427396392822,358,0.001188034698577677
49,Nominal,overly_thick,1.000000000,697.080000,355.973282,16069.181705322266,4114.08402420044,1544.4435881042482,399,0.0013240945383589191
50,Nominal,overly_thick,1.000000000,697.080000,355.973282,16080.850051879885,6407.951190948486,1538.0976394081117,394,0.0013075018749709628
51,Nominal,overly_thick,1.000000000,697.080000,355.973282,13786.97668045044,6419.61510559082,1536.1967909431457,404,0.0013406872017468756
52,Nominal,within_reference,0.542392552,513.380633,172.273915,12627.436070861817,4134.758465805054,2688.540080909729,16,5.309652284146042e-05
53,Nominal,within_reference,0.551684082,517.759229,176.652511,12639.106190185548,6428.624746170044,2682.1940214157107,37,0.00012278570907087722
54,Nominal,within_reference,0.358497858,417.374494,76.267775,12637.23769470215,6434.980555877686,4976.089774017334,0,0.0
55,Nominal,within_reference,0.321331799,395.147715,54.040997,12625.567575378418,4141.113832321167,4982.435390319824,0,0.0
56,Nominal,within_reference,0.534649611,509.703071,168.596352,13768.53902648926,2981.9931467056276,2692.6635348892214,9,2.9866794098321488e-05
57,Nominal,within_reference,0.593883097,537.196414,196.089696,16062.41328430176,2970.3290104675293,2694.564383354187,20,6.637065355182552e-05
58,Nominal,within_reference,0.299264431,381.338078,40.231360,13766.67053100586,2988.348734817505,4986.558844299317,0,0.0
59,Nominal,within_reference,0.384049565,431.992554,90.885836,16060.54478881836,2976.684376983643,4988.459692764282,0,0.0
60,Nominal,within_reference,0.410762668,446.763933,105.657215,13778.338877563478,5282.215015182495,4980.212784805298,0,0.0
61,Nominal,overly_thick,0.623306215,550.342879,209.236160,13780.207373046876,5275.859205474854,2686.317475395203,44,0.00014601543781401615
62,Nominal,within_reference,0.242741004,343.442624,2.335906,13785.109071350098,6425.970472106934,3830.092211151123,0,0.0
63,Nominal,within_reference,0.365079373,421.188273,80.081555,13773.438952026368,4132.104191741943,3836.438270645142,0,0.0
64,Nominal,overly_thick,0.717382908,590.416023,249.309305,16074.081630859377,5264.19529083252,2688.2183238601688,73,0.00024225288546416316
65,Nominal,within_reference,0.320557505,394.671346,53.564628,16078.983329162598,6414.3065574646,3831.993059616089,0,0.0
66,Nominal,within_reference,0.367789388,422.748640,81.641922,16072.213135375978,5270.550657348633,4982.113633270264,0,0.0
67,Nominal,within_reference,0.512582242,499.073374,157.966656,14921.310328674317,4123.094107971192,2690.440929374695,24,7.964478426219063e-05
68,Nominal,within_reference,0.287650019,373.865014,32.758296,16067.313209838869,4120.439833908082,3838.3391191101077,0,0.0
69,Nominal,within_reference,0.305071622,385.020211,43.913493,14919.441833190918,4129.449917678833,4984.33623878479,0,0.0
70,Nominal,within_reference,0.289585739,375.120854,34.014135,14931.11195251465,6423.3161980438235,4977.990179290772,0,0.0
71,Nominal,overly_thick,0.651567936,562.681290,221.574572,14932.980447998048,6416.960388336182,2684.0948698806765,73,0.00024225288546416316
72,Nominal,overly_thick,1.000000000,697.080000,355.973282,18363.055963134768,4102.420109558106,1546.344436569214,396,0.0013141389403261454
73,Nominal,overly_thick,1.000000000,697.080000,355.973282,20656.930220947266,4090.7561949157716,1548.2452850341797,401,0.0013307316037141019
74,Nominal,overly_thick,1.000000000,697.080000,355.973282,20668.600340270998,6384.622475280762,1541.8992255401613,395,0.001310820407648554
75,Nominal,overly_thick,1.000000000,697.080000,355.973282,18374.726082458496,6396.286833114625,1539.9983770751953,403,0.0013373686690692844
76,Nominal,overly_thick,0.639179230,557.306296,216.199578,17215.18635925293,4111.430193328858,2692.3417778396606,22,7.300771890700808e-05
77,Nominal,overly_thick,0.632984877,554.599265,213.492546,17226.854705810547,6405.296473693848,2685.995718345642,72,0.0002389343527865719
78,Nominal,within_reference,0.353464961,414.434410,73.327691,17224.986210327148,6411.651840209961,4979.891470947266,0,0.0
79,Nominal,within_reference,0.308168799,386.969695,45.862977,17213.31786376953,4117.7855598449705,4986.237087249756,0,0.0
80,Nominal,within_reference,0.511807978,498.696303,157.589584,18356.28754211426,2958.664652633667,2696.465231819153,42,0.0001393783724588336
81,Nominal,within_reference,0.557878435,520.657836,179.551118,20650.16179992676,2947.000516395569,2698.3660802841187,39,0.00012942277442605976
82,Nominal,within_reference,0.413472712,448.235293,107.128575,18354.41904663086,2965.0202407455445,4990.360541229248,0,0.0
83,Nominal,within_reference,0.269841284,362.106916,21.000198,20648.29330444336,2953.3561045074466,4992.261389694214,0,0.0
84,Nominal,within_reference,0.421215653,452.412789,111.306071,18366.089165954592,5258.886742706299,4984.01448173523,0,0.0
85,Nominal,overly_thick,0.780874968,615.989590,274.882872,18367.957661437988,5252.531376190186,2690.1191723251345,60,0.00019911196065547658
86,Nominal,within_reference,0.257839710,353.962720,12.856002,18372.8575869751,6402.6417564392095,3833.893908081055,0,0.0
87,Nominal,within_reference,0.356562138,416.246155,75.139437,18361.18746765137,4108.775476074219,3840.2399675750735,0,0.0
88,Nominal,overly_thick,0.763066173,608.924886,267.818167,20661.83191925049,5240.867018356324,2692.0200207901003,65,0.00021570462404343294
89,Nominal,within_reference,0.313588858,390.357865,49.251147,20666.7318447876,6390.9778417968755,3835.794756546021,0,0.0
90,Nominal,within_reference,0.372435153,425.410255,84.303537,20659.96342376709,5247.222828063965,4985.915330200196,0,0.0
91,Nominal,within_reference,0.536585391,510.624966,169.518247,19509.060617065432,4099.765835494995,2694.242626304627,40,0.00013274130710365104
92,Nominal,within_reference,0.238095239,340.140212,-0.966506,20655.061725463867,4097.111561431885,3842.140816040039,0,0.0
93,Nominal,within_reference,0.289198607,374.870030,33.763312,19507.192121582033,4106.121645202637,4988.137935714722,0,0.0
94,Nominal,within_reference,0.247773901,346.984761,5.878043,19518.86046813965,6399.987925567627,4981.791876220704,0,0.0
95,Nominal,overly_thick,0.709252834,587.060909,245.954190,19520.72896362305,6393.632115859986,2687.896566810608,81,0.0002688011468848934
96,Nominal,overly_thick,1.000000000,697.080000,355.973282,22950.80447875977,4079.0918370819095,1550.1461334991457,403,0.0013373686690692844
97,Nominal,overly_thick,1.000000000,697.080000,355.973282,25244.68050933838,4067.427479248047,1552.0469819641114,410,0.0013605983978124232
98,Nominal,overly_thick,1.000000000,697.080000,355.973282,25256.350628662112,6361.293759613038,1545.7009224700928,397,0.0013174574730037366
99,Nominal,overly_thick,1.000000000,697.080000,355.973282,22962.474598083496,6372.958560638428,1543.800074005127,404,0.0013406872017468756
100,Nominal,within_reference,0.558652759,521.019042,179.912324,21802.93487487793,4088.1014776611332,2696.1434747695926,49,0.00016260810120197254
101,Nominal,overly_thick,0.652729392,563.182572,222.075854,21814.603221435547,6381.968201217652,2689.7974152755737,97,0.00032189766972635377
102,Nominal,within_reference,0.323267519,396.336124,55.229406,21812.73472595215,6388.323567733765,4983.693167877198,0,0.0
103,Nominal,within_reference,0.294231504,378.117875,37.011157,21801.06637939453,4094.457287368775,4990.038784179687,0,0.0
104,Nominal,within_reference,0.525745273,505.440817,164.334099,22944.03605773926,2935.336380157471,2700.266928749085,21,6.96891862294168e-05
105,Nominal,overly_thick,0.632210612,554.259969,213.153251,25237.91031555176,2923.6720223236084,2702.1677772140506,23,7.632625158459936e-05
106,Nominal,within_reference,0.341076255,407.106808,66.000090,22942.16756225586,2941.691746673584,4994.16223815918,0,0.0
107,Nominal,within_reference,0.267905533,360.805762,19.699044,25236.04182006836,2930.027610435486,4996.063086624145,0,0.0
108,Nominal,within_reference,0.337591946,405.022044,63.915326,22953.837681579593,5235.558470230103,4987.816178665162,0,0.0
109,Nominal,overly_thick,0.834688365,636.861217,295.754499,22955.706177062988,5229.202660522461,2693.920869255066,78,0.0002588455488521195
110,Nominal,within_reference,0.234998062,337.920674,-3.186044,22960.60787536621,6379.3139271545415,3837.6956050109866,0,0.0
111,Nominal,within_reference,0.296554387,379.607513,38.500794,22948.93598327637,4085.4472035980225,3844.041664505005,0,0.0
112,Nominal,overly_thick,0.750290334,603.805825,262.699107,25249.58043487549,5217.538745880127,2695.8217177200318,97,0.00032189766972635377
113,Nominal,within_reference,0.281455666,369.817638,28.710920,25254.482133178713,6367.649569320679,3839.5964534759523,0,0.0
114,Nominal,within_reference,0.399922580,440.829435,99.722716,25247.71193939209,5223.89411239624,4989.7170271301275,0,0.0
115,Nominal,within_reference,0.586914420,534.035358,192.928640,24096.809132690432,4076.437563018799,2698.0443232345583,49,0.00016260810120197254
116,Nominal,within_reference,0.238869533,340.692837,-0.413881,25242.810241088868,4073.7828457641604,3845.9425129699707,0,0.0
117,Nominal,within_reference,0.264421225,358.451811,17.345093,24094.940637207033,4082.792929534912,4991.939632644654,0,0.0
118,Nominal,within_reference,0.218350753,325.731658,-15.375060,24106.60898376465,6376.659653091431,4985.593573150635,0,0.0
119,Nominal,overly_thick,0.684475422,576.715404,235.608686,24108.47747924805,6370.303843383789,2691.69826374054,111,0.0003683571272126317
120,Nominal,overly_thick,1.000000000,697.080000,355.973282,27538.55476715088,4055.7631214141848,1553.9478304290772,414,0.0013738725285227884
121,Nominal,overly_thick,1.000000000,697.080000,355.973282,29832.427252197267,4044.0987635803226,1555.8486788940431,413,0.0013705539958451972
122,Nominal,overly_thick,1.000000000,697.080000,355.973282,29844.099144287113,6337.965043945313,1549.5026194000245,403,0.0013373686690692844
123,Nominal,overly_thick,1.000000000,697.080000,355.973282,27550.22488647461,6349.629844970704,1547.6017709350588,409,0.001357279865134832
124,Nominal,overly_thick,0.624854803,551.026111,209.919393,26390.68339050293,4064.7732051849366,2699.945171699524,51,0.00016924516655715508
125,Nominal,within_reference,0.594270229,537.371475,196.264757,26402.351737060548,6358.6394855499275,2693.5991122055057,139,0.0004612760421851874
126,Nominal,within_reference,0.298490137,380.844436,39.737718,26400.48324157715,6364.995295257569,4987.494421615601,0,0.0
127,Nominal,within_reference,0.289972901,375.371529,34.264811,26388.814895019532,4071.12857170105,4993.84048110962,0,0.0
128,Nominal,within_reference,0.478900492,482.397740,141.291021,27531.78634613037,2912.0078860855106,2704.0686256790163,56,0.00018583782994511147
129,Nominal,overly_thick,0.716221452,589.937882,248.831164,29825.662376708988,2900.3437498474123,2705.969474143982,38,0.0001261042417484685
130,Nominal,within_reference,0.338753402,405.718168,64.611449,27529.916077880862,2918.363474197388,4997.963935089112,0,0.0
131,Nominal,within_reference,0.193186224,306.387257,-34.719461,29823.79033569336,2906.6991163635257,4999.864783554078,0,0.0
132,Nominal,within_reference,0.255129695,352.097651,10.990932,27541.586197204593,5212.229754562378,4991.617875595093,0,0.0
133,Nominal,overly_thick,0.847464204,641.716645,300.609926,27543.45469268799,5205.873944854737,2697.7225661849975,82,0.00027211967956248465
134,Nominal,within_reference,0.202090591,313.368739,-27.737979,27548.35639099121,6355.985211486817,3841.497301940918,0,0.0
135,Nominal,within_reference,0.273712724,364.695258,23.588540,27536.68627166748,4062.1189311218263,3847.843361434937,0,0.0
136,Nominal,overly_thick,0.723190069,592.800893,251.694175,29837.327177734376,5194.210030212403,2699.6234146499637,111,0.0003683571272126317
137,Nominal,within_reference,0.234610915,337.642206,-3.464512,29842.230648803714,6344.321296844483,3843.398150405884,0,0.0
138,Nominal,within_reference,0.440572977,462.691531,121.584813,29835.462227783206,5200.565396728516,4993.518724060059,0,0.0
139,Nominal,within_reference,0.507549345,496.617202,155.510484,28684.557648315433,4053.1088473510745,2701.84602016449,82,0.00027211967956248465
140,Nominal,within_reference,0.214866430,323.122281,-17.984437,29830.562302246097,4050.454573287964,3849.7442098999027,0,0.0
141,Nominal,within_reference,0.248161048,347.255737,6.149019,28682.689152832034,4059.464657058716,4995.7413295745855,0,0.0
142,Nominal,within_reference,0.194347665,307.306882,-33.799837,28694.35749938965,6353.330937423706,4989.395270080567,0,0.0
143,Nominal,overly_thick,0.691056907,579.481437,238.374719,28696.22599487305,6346.975127716065,2695.4999606704714,125,0.00041481658469890955
144,Nominal,overly_thick,1.000000000,697.080000,355.973282,32126.30151000977,4032.4348489379886,1557.7495273590089,422,0.0014004207899435187
145,Nominal,overly_thick,1.000000000,697.080000,355.973282,34420.17576782227,4020.770491104126,1559.6503758239746,407,0.0013506427997796494
146,Nominal,overly_thick,1.000000000,697.080000,355.973282,34431.84765991211,6314.6372146606445,1553.3043163299562,394,0.0013075018749709628
147,Nominal,overly_thick,1.000000000,697.080000,355.973282,32137.97340209961,6326.301129302979,1551.4034678649903,404,0.0013406872017468756
148,Nominal,within_reference,0.554006994,518.848118,177.741400,30978.43190612793,4041.4449327087405,2703.7468686294555,96,0.0003185791370487625
149,Nominal,within_reference,0.576848626,529.436104,188.329386,30990.10025268555,6335.311213073731,2697.400809135437,139,0.0004612760421851874
150,Nominal,within_reference,0.213704988,322.247794,-18.858925,30988.23175720215,6341.666579589844,4991.296118545532,0,0.0
151,Nominal,within_reference,0.176151767,292.567530,-48.539188,30976.563410644532,4047.800299224854,4997.642178039551,0,0.0
152,Nominal,within_reference,0.367789388,422.748640,81.641922,32119.536634521486,2888.67939201355,2707.870322608948,72,0.0002389343527865719
153,Nominal,overly_thick,0.720092893,591.530149,250.423431,34413.41089233399,2877.0150341796875,2709.7711710739136,40,0.00013274130710365104
154,Nominal,within_reference,0.390243888,435.462416,94.355697,32117.664593505862,2895.0349801254274,5001.765632019044,0,0.0
155,Nominal,within_reference,0.132017031,253.278079,-87.828639,34411.538851318364,2883.370843887329,5003.666480484009,0,0.0
156,Nominal,within_reference,0.181571811,297.034460,-44.072259,32129.336485595704,5188.901482086182,4995.419572525025,0,0.0
157,Nominal,overly_thick,0.815718174,629.582564,288.475845,32131.20143554688,5182.546115570069,2701.5242631149295,106,0.0003517644638246753
158,Nominal,within_reference,0.171893150,289.009359,-52.097359,32136.104906616212,6332.656495819092,3845.29899887085,0,0.0
159,Nominal,within_reference,0.248161048,347.255737,6.149019,32124.436560058595,4038.7902154541016,3851.6450583648684,0,0.0
160,Nominal,within_reference,0.606271803,542.770590,201.663872,34425.07569335938,5170.881757736206,2703.425111579895,157,0.0005210096303818304
161,Nominal,within_reference,0.167247385,285.077072,-56.029646,34429.97916442871,6320.992581176758,3847.199847335816,2,6.637065355182553e-06
162,Nominal,within_reference,0.452187389,468.750610,127.643891,34423.210743408206,5177.237567443848,4997.32042098999,0,0.0
163,Nominal,within_reference,0.515292287,500.390946,159.284228,33272.30616394043,4029.7805748748783,2705.6477170944218,91,0.0003019864736608061
164,Nominal,within_reference,0.203639179,314.567095,-26.539623,34418.3108178711,4027.126300811768,3853.545906829834,0,0.0
165,Nominal,within_reference,0.267131239,360.283988,19.177270,33270.43766845703,4036.13638458252,4999.543026504517,0,0.0
166,Nominal,within_reference,0.184668988,299.557093,-41.549625,33282.10956054688,6330.00266494751,4993.196967010498,0,0.0
167,Nominal,overly_thick,0.623306215,550.342879,209.236160,33283.97451049805,6323.646855239868,2699.301657600403,141,0.0004679131075403699
168,Nominal,overly_thick,1.000000000,697.080000,355.973282,36714.050025634766,4009.1065764617924,1561.5512242889406,418,0.0013871466592331534
169,Nominal,overly_thick,1.000000000,697.080000,355.973282,39007.92428344727,3997.44221862793,1563.4520727539064,406,0.0013473242671020581
170,Nominal,overly_thick,1.000000000,697.080000,355.973282,39019.59617553711,6291.30849899292,1557.1060132598877,405,0.0013440057344244669
171,Nominal,overly_thick,1.000000000,697.080000,355.973282,36725.72191772461,6302.9733000183105,1555.205164794922,403,0.0013373686690692844
172,Nominal,within_reference,0.490127772,488.019615,146.912897,35566.180421752935,4018.1162170410157,2707.5485655593875,84,0.0002787567449176672
173,Nominal,within_reference,0.499419272,492.623665,151.516947,35577.84876831055,6311.982940597534,2701.2025060653687,115,0.00038163125792299677
174,Nominal,within_reference,0.176926062,293.209831,-47.896887,35575.983818359375,6318.338307113648,4995.097815475464,0,0.0
175,Nominal,within_reference,0.181571811,297.034460,-44.072259,35564.31192626953,4024.4720267486573,5001.443874969483,0,0.0
176,Nominal,within_reference,0.335269064,403.626213,62.519495,36707.28515014648,2865.3508979415897,2711.6720195388793,73,0.00024225288546416316
177,Nominal,overly_thick,0.645760715,560.168177,219.061459,39001.159407958985,2853.6867617034914,2713.5728680038455,49,0.00016260810120197254
178,Nominal,within_reference,0.330236167,400.585237,59.478519,36705.41310913086,2871.706486053467,5005.567328948975,0,0.0
179,Nominal,within_reference,0.101819590,222.432526,-118.674192,38999.28736694336,2860.0423498153687,5007.468177413941,0,0.0
180,Nominal,within_reference,0.124661244,246.120819,-94.985899,36717.08500122071,5165.5732096099855,4999.221269454956,34,0.0001128301110381034
181,Nominal,overly_thick,0.796747983,622.218771,281.112053,36718.949951171875,5159.217399902344,2705.325960044861,86,0.00028539381027284973
182,Nominal,within_reference,0.149438635,269.472262,-71.634456,36723.85342224121,6309.328666534424,3849.1006958007815,1,3.3185326775912764e-06
183,Nominal,within_reference,0.153697252,273.284924,-67.821794,36712.1850756836,4015.4619429779054,3855.4467552948,0,0.0
184,Nominal,within_reference,0.444444448,464.720002,123.613283,39012.82420898438,5147.55348526001,2707.2268085098267,114,0.0003783127252454055
185,Nominal,within_reference,0.120789781,242.268929,-98.837789,39017.727680053715,6297.664308700562,3851.0015442657473,4,1.3274130710365105e-05
186,Nominal,within_reference,0.474254757,480.052207,138.945489,39010.9592590332,5153.908851776123,5001.122117919922,0,0.0
187,Nominal,within_reference,0.308168799,386.969695,45.862977,37860.05467956543,4006.4523023986817,2709.4494140243532,91,0.0003019864736608061
188,Nominal,within_reference,0.137437090,258.425044,-82.681674,39006.059333496094,4003.7975851440433,3857.3476037597657,8,2.654826142073021e-05
189,Nominal,within_reference,0.110723965,231.954839,-109.151879,37858.186184082035,4012.807668914795,5003.3447234344485,0,0.0
190,Nominal,within_reference,0.119241193,240.710912,-100.395806,37869.85807617188,6306.674392471314,4996.99866394043,1,3.3185326775912764e-06
